date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,22
2020-03-15,87
2020-03-22,296
2020-03-29,341
2020-04-05,45
2020-04-12,126
2020-04-19,159
2020-04-26,322
2020-05-03,-109
2020-05-10,608
2020-05-17,1013
2020-05-24,2151
2020-05-31,724
2020-06-07,1512
2020-06-14,3388
2020-06-21,3365
2020-06-28,4957
2020-07-05,1188
2020-07-12,4776
2020-07-19,6601
2020-07-26,7675
2020-08-02,2718
2020-08-09,9676
2020-08-16,-2964
2020-08-23,2506
2020-08-30,17796
2020-09-06,3341
2020-09-13,5838
2020-09-20,-2828
2020-09-27,6382
2020-10-04,5342
2020-10-11,9163
2020-10-18,-235
2020-10-25,1606
2020-11-01,-16084
2020-11-08,-10779
2020-11-15,-3596
2020-11-22,-9242
2020-11-29,-9853
2020-12-06,-5272
2020-12-13,-7448
2020-12-20,10140
2020-12-27,-591
2021-01-03,15601
2021-01-10,24269
2021-01-17,-6787
2021-01-24,1370
2021-01-31,-18131
2021-02-07,-9916
2021-02-14,-525
2021-02-21,-8057
2021-02-28,2014
2021-03-07,-978
2021-03-14,6556
2021-03-21,1352
2021-03-28,19850
2021-04-04,22496
2021-04-11,59392
2021-04-18,11154
2021-04-25,1231
2021-05-02,-24261
2021-05-09,3215
2021-05-16,21281
2021-05-23,68671
2021-05-30,-26328
2021-06-06,-13127
2021-06-13,-32436
2021-06-20,-25133
2021-06-27,-4489
2021-07-04,-7703
2021-07-11,-16563
2021-07-18,-3771
2021-07-25,-16762
2021-08-01,-1123
2021-08-08,-6788
2021-08-15,-18131
2021-08-22,-15052
2021-08-29,-8989
2021-09-05,-9734
2021-09-12,-8671
2021-09-19,-5639
2021-09-26,-3224
2021-10-03,-1747
2021-10-10,-2617
2021-10-17,581
2021-10-24,1383
2021-10-31,427
2021-11-07,-382
2021-11-14,773
2021-11-21,832
2021-11-28,1608
2021-12-05,3908
2021-12-12,4414
2021-12-19,17624
2021-12-26,48989
2022-01-02,175222
2022-01-09,385709
2022-01-16,122966
2022-01-23,-42905
2022-01-30,-295478
2022-02-06,-205475
2022-02-13,-102164
2022-02-20,-41429
2022-02-27,-19025
2022-03-06,-27598
2022-03-13,-4673
2022-03-20,2089
2022-03-27,-18102
2022-04-03,-2933
2022-04-10,-3157
2022-04-17,-3142
2022-04-24,18137
2022-05-01,-13389
2022-05-08,6203
2022-05-15,16343
2022-05-22,9498
2022-05-29,8291
2022-06-05,-5733
2022-06-12,-9210
2022-06-19,-8796
2022-06-26,-2359
2022-07-03,1474
2022-07-10,4691
2022-07-17,7811
2022-07-24,2079
2022-07-31,11010
2022-08-07,-10518
2022-08-14,-11029
2022-08-21,-6539
2022-08-28,-4825
2022-09-04,-8198
2022-09-11,-3734
2022-09-18,-1727
2022-09-25,-1693
2022-10-02,-1547
2022-10-09,-696
2022-10-16,-369
2022-10-23,212
2022-10-30,-753
2022-11-06,28
2022-11-13,129
2022-11-20,720
2022-11-27,1117
2022-12-04,9286
2022-12-11,14510
2022-12-18,35142
2022-12-25,-358
2023-01-01,10655
2023-01-08,-31576
2023-01-15,-21566
2023-01-22,-10802
2023-01-29,-4188
2023-02-05,-1232
2023-02-12,-1387
2023-02-19,-635
2023-02-26,-355
2023-03-05,15
2023-03-12,-832
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,421
2023-06-04,27
2023-06-11,80
2023-06-18,-26
2023-06-25,78
2023-07-02,125
2023-07-09,83
2023-07-16,-195
2023-07-23,-4
2023-07-30,169
2023-08-06,184
2023-08-13,177
2023-08-20,561
2023-08-27,487
2023-09-03,922
2023-09-10,-409
2023-09-17,-486
2023-09-24,-324
2023-10-01,-566
2023-10-08,-75
2023-10-15,-374
2023-10-22,-9
2023-10-29,-191
2023-11-05,-210
2023-11-12,2
2023-11-19,38
2023-11-26,8
2023-12-03,106
2023-12-10,-140
2023-12-17,139
2023-12-24,-23
2023-12-31,-33
2024-01-07,-542
