date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,2
2020-02-09,3
2020-02-16,-5
2020-02-23,0
2020-03-01,0
2020-03-08,32
2020-03-15,36
2020-03-22,185
2020-03-29,366
2020-04-05,1776
2020-04-12,2587
2020-04-19,2374
2020-04-26,3428
2020-05-03,2700
2020-05-10,9475
2020-05-17,5029
2020-05-24,12953
2020-05-31,9334
2020-06-07,14210
2020-06-14,9809
2020-06-21,15245
2020-06-28,28859
2020-07-05,25908
2020-07-12,32082
2020-07-19,51677
2020-07-26,79839
2020-08-02,57297
2020-08-09,37086
2020-08-16,34385
2020-08-23,18586
2020-08-30,42535
2020-09-06,73285
2020-09-13,69467
2020-09-20,5718
2020-09-27,-54350
2020-10-04,-35072
2020-10-11,-52408
2020-10-18,-63688
2020-10-25,-70485
2020-11-01,-50989
2020-11-08,4401
2020-11-15,-16847
2020-11-22,-25598
2020-11-29,15886
2020-12-06,-45810
2020-12-13,-38496
2020-12-20,-38613
2020-12-27,-17567
2021-01-03,-20512
2021-01-10,-9796
2021-01-17,-18618
2021-01-24,-11153
2021-01-31,-4898
2021-02-07,-11470
2021-02-14,-1603
2021-02-21,8134
2021-02-28,18369
2021-03-07,8988
2021-03-14,34181
2021-03-21,91833
2021-03-28,132412
2021-04-04,141391
2021-04-11,359411
2021-04-18,556008
2021-04-25,742759
2021-05-02,425222
2021-05-09,141672
2021-05-16,-351294
2021-05-23,-541608
2021-05-30,-481387
2021-06-06,-450129
2021-06-13,-283889
2021-06-20,-188674
2021-06-27,-90758
2021-07-04,-38968
2021-07-11,-20461
2021-07-18,-22946
2021-07-25,-3007
2021-08-01,18087
2021-08-08,-5292
2021-08-15,-20510
2021-08-22,-26463
2021-08-29,39138
2021-09-05,22847
2021-09-12,-45395
2021-09-19,-37006
2021-09-26,-6660
2021-10-03,-43424
2021-10-10,-21586
2021-10-17,-25328
2021-10-24,-6495
2021-10-31,-9917
2021-11-07,-15596
2021-11-14,-465
2021-11-21,-8665
2021-11-28,-10996
2021-12-05,-1378
2021-12-12,-3477
2021-12-19,-7490
2021-12-26,-3238
2022-01-02,55803
2022-01-09,536542
2022-01-16,955288
2022-01-23,520940
2022-01-30,-259842
2022-02-06,-759642
2022-02-13,-652333
2022-02-20,-252231
2022-02-27,-97408
2022-03-06,-46808
2022-03-13,-18798
2022-03-20,-11188
2022-03-27,-5238
2022-04-03,-2934
2022-04-10,-1538
2022-04-17,-314
2022-04-24,8622
2022-05-01,6195
2022-05-08,1363
2022-05-15,-3601
2022-05-22,-4633
2022-05-29,1900
2022-06-05,7102
2022-06-12,21426
2022-06-19,29475
2022-06-26,18606
2022-07-03,19175
2022-07-10,7766
2022-07-17,7726
2022-07-24,10208
2022-07-31,-7100
2022-08-07,-5135
2022-08-14,-18189
2022-08-21,-21767
2022-08-28,-17262
2022-09-04,-20300
2022-09-11,-9579
2022-09-18,5
2022-09-25,-4903
2022-10-02,-7553
2022-10-09,-8847
2022-10-16,-711
2022-10-23,-2901
2022-10-30,-4390
2022-11-06,-1211
2022-11-13,-2515
2022-11-20,-3160
2022-11-27,-91
2022-12-04,-717
2022-12-11,-400
2022-12-18,-300
2022-12-25,24
2023-01-01,389
2023-01-08,-268
2023-01-15,-159
2023-01-22,-235
2023-01-29,-163
2023-02-05,6
2023-02-12,31
2023-02-19,44
2023-02-26,301
2023-03-05,703
2023-03-12,869
2023-03-19,2256
2023-03-26,3799
2023-04-02,9731
2023-04-09,15553
2023-04-16,27488
2023-04-23,12375
2023-04-30,-20474
2023-05-07,-29159
2023-05-14,-13197
2023-05-21,-5257
2023-05-28,-2504
2023-06-04,-1445
2023-06-11,-632
2023-06-18,-514
2023-06-25,-220
2023-07-02,-143
2023-07-09,-35
2023-07-16,9
2023-07-23,83
2023-07-30,-62
2023-08-06,68
2023-08-13,-98
2023-08-20,31
2023-08-27,39
2023-09-03,-1
2023-09-10,21
2023-09-17,68
2023-09-24,-89
2023-10-01,-50
2023-10-08,177
2023-10-15,-230
2023-10-22,1204
2023-10-29,-1271
2023-11-05,-54
2023-11-12,-67
2023-11-19,47
2023-11-26,70
2023-12-03,226
2023-12-10,461
2023-12-17,885
2023-12-24,2043
2023-12-31,748
2024-01-01,-3816
