date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,3
2020-02-09,-3
2020-02-16,0
2020-02-23,76
2020-03-01,973
2020-03-08,3706
2020-03-15,10519
2020-03-22,17147
2020-03-29,6473
2020-04-05,-6734
2020-04-12,-4521
2020-04-19,-3985
2020-04-26,-4228
2020-05-03,-5449
2020-05-10,-5037
2020-05-17,-2448
2020-05-24,-1925
2020-05-31,-1230
2020-06-07,-1200
2020-06-14,-287
2020-06-21,173
2020-06-28,-162
2020-07-05,-578
2020-07-12,125
2020-07-19,-19
2020-07-26,259
2020-08-02,320
2020-08-09,303
2020-08-16,1064
2020-08-23,1363
2020-08-30,4019
2020-09-06,767
2020-09-13,476
2020-09-20,312
2020-09-27,1263
2020-10-04,3112
2020-10-11,12096
2020-10-18,26299
2020-10-25,48931
2020-11-01,72948
2020-11-08,48139
2020-11-15,19002
2020-11-22,-6083
2020-11-29,-51978
2020-12-06,-38542
2020-12-13,-29675
2020-12-20,-3476
2020-12-27,-11608
2021-01-03,1319
2021-01-10,14646
2021-01-17,-5798
2021-01-24,-24415
2021-01-31,146
2021-02-07,-3283
2021-02-14,2406
2021-02-21,-744
2021-02-28,27052
2021-03-07,26908
2021-03-14,16139
2021-03-21,-583
2021-03-28,1566
2021-04-04,-18202
2021-04-11,-34027
2021-04-18,-464
2021-04-25,-11292
2021-05-02,-5974
2021-05-09,-18796
2021-05-16,-16851
2021-05-23,-15637
2021-05-30,-9951
2021-06-06,-7767
2021-06-13,-3769
2021-06-20,-4716
2021-06-27,-3419
2021-07-04,28
2021-07-11,2152
2021-07-18,7073
2021-07-25,13894
2021-08-01,9014
2021-08-08,3301
2021-08-15,3668
2021-08-22,-641
2021-08-29,1918
2021-09-05,-3767
2021-09-12,-6211
2021-09-19,-5097
2021-09-26,-5586
2021-10-03,-3088
2021-10-10,-2881
2021-10-17,-1545
2021-10-24,4572
2021-10-31,7980
2021-11-07,4807
2021-11-14,15486
2021-11-21,13214
2021-11-28,15425
2021-12-05,20271
2021-12-12,13052
2021-12-19,46314
2021-12-26,99032
2022-01-02,387025
2022-01-09,369658
2022-01-16,253891
2022-01-23,-36412
2022-01-30,-191557
2022-02-06,-318766
2022-02-13,-210881
2022-02-20,-136094
2022-02-27,-69536
2022-03-06,-47364
2022-03-13,75362
2022-03-20,144146
2022-03-27,26881
2022-04-03,-17237
2022-04-10,-39373
2022-04-17,-25615
2022-04-24,-2333
2022-05-01,-35383
2022-05-08,-79418
2022-05-15,-42199
2022-05-22,-63258
2022-05-29,-54638
2022-06-05,-27768
2022-06-12,26904
2022-06-19,67226
2022-06-26,129172
2022-07-03,171025
2022-07-10,150947
2022-07-17,56941
2022-07-24,-187598
2022-07-31,-136744
2022-08-07,-110585
2022-08-14,-90693
2022-08-21,-42383
2022-08-28,6942
2022-09-04,-21653
2022-09-11,-25567
2022-09-18,2574
2022-09-25,22659
2022-10-02,79657
2022-10-09,65413
2022-10-16,7505
2022-10-23,-35675
2022-10-30,-44276
2022-11-06,-42512
2022-11-13,15192
2022-11-20,39832
2022-11-27,7445
2022-12-04,-666
2022-12-11,-29359
2022-12-18,-24246
2022-12-25,-41760
2023-01-01,-99
2023-01-08,-24016
2023-01-15,-28567
2023-01-22,-32555
2023-01-29,-10468
2023-02-05,-3971
2023-02-12,-3465
2023-02-19,-140
2023-02-26,31
2023-03-05,-4044
2023-03-12,-984
2023-03-19,-1108
2023-03-26,-376
2023-04-02,-1666
2023-04-09,-1092
2023-04-16,4839
2023-04-23,1913
2023-04-30,-3609
2023-05-07,-3156
2023-05-14,-2784
2023-05-21,-2947
2023-05-28,973
2023-06-04,-4153
2023-06-11,-1482
2023-06-18,-2571
2023-06-25,-1638
2023-07-02,-862
2023-07-09,-894
2023-07-16,-131
2023-07-23,167
2023-07-30,809
2023-08-06,1971
2023-08-13,-281
2023-08-20,1620
2023-08-27,5257
2023-09-03,4165
2023-09-10,7617
2023-09-17,9997
2023-09-24,2797
2023-10-01,2278
2023-10-08,5846
2023-10-15,-7477
2023-10-22,-8238
2023-10-29,-1493
2023-11-05,-3796
2023-11-12,6252
2023-11-19,11190
2023-11-26,7206
2023-12-03,6716
2023-12-10,-2872
2023-12-17,11772
2023-12-24,-10310
2023-12-31,-51311
2024-01-07,-3287
