date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,1
2020-03-01,4
2020-03-08,40
2020-03-15,138
2020-03-22,486
2020-03-29,545
2020-04-05,920
2020-04-12,1157
2020-04-19,2667
2020-04-26,3306
2020-05-03,2307
2020-05-10,3625
2020-05-17,4342
2020-05-24,4649
2020-05-31,2786
2020-06-07,3583
2020-06-14,4266
2020-06-21,2765
2020-06-28,1719
2020-07-05,4247
2020-07-12,853
2020-07-19,5369
2020-07-26,402
2020-08-02,-4178
2020-08-09,-4185
2020-08-16,-2362
2020-08-23,-1585
2020-08-30,1363
2020-09-06,-357
2020-09-13,-3534
2020-09-20,-5680
2020-09-27,4057
2020-10-04,-1080
2020-10-11,435
2020-10-18,5707
2020-10-25,5523
2020-11-01,-1622
2020-11-08,-1938
2020-11-15,7459
2020-11-22,-3384
2020-11-29,11641
2020-12-06,7619
2020-12-13,8974
2020-12-20,4383
2020-12-27,-12617
2021-01-03,8061
2021-01-10,32498
2021-01-17,5213
2021-01-24,-6214
2021-01-31,-14251
2021-02-07,-28525
2021-02-14,-8406
2021-02-21,-10056
2021-02-28,-932
2021-03-07,-2012
2021-03-14,-5887
2021-03-21,-6003
2021-03-28,362
2021-04-04,-7446
2021-04-11,4793
2021-04-18,-2244
2021-04-25,-2842
2021-05-02,-1783
2021-05-09,-2967
2021-05-16,-1693
2021-05-23,268
2021-05-30,563
2021-06-06,880
2021-06-13,3258
2021-06-20,3328
2021-06-27,6959
2021-07-04,7685
2021-07-11,17683
2021-07-18,23409
2021-07-25,24480
2021-08-01,19316
2021-08-08,5971
2021-08-15,6859
2021-08-22,-14258
2021-08-29,-17868
2021-09-05,-15673
2021-09-12,-11058
2021-09-19,-18323
2021-09-26,907
2021-10-03,-14110
2021-10-10,-8564
2021-10-17,-5135
2021-10-24,-5297
2021-10-31,-2317
2021-11-07,-4538
2021-11-14,1094
2021-11-21,-2773
2021-11-28,2121
2021-12-05,-1102
2021-12-12,-763
2021-12-19,-1356
2021-12-26,4875
2022-01-02,35917
2022-01-09,137883
2022-01-16,211979
2022-01-23,33
2022-01-30,-124086
2022-02-06,-116182
2022-02-13,-80175
2022-02-20,-24796
2022-02-27,-24295
2022-03-06,-15912
2022-03-13,-7300
2022-03-20,-4001
2022-03-27,-3148
2022-04-03,-397
2022-04-10,-1766
2022-04-17,-1552
2022-04-24,641
2022-05-01,147
2022-05-08,331
2022-05-15,1035
2022-05-22,2391
2022-05-29,4487
2022-06-05,7313
2022-06-12,14821
2022-06-19,20942
2022-06-26,41953
2022-07-03,55199
2022-07-10,47640
2022-07-17,13768
2022-07-24,-33886
2022-07-31,-57949
2022-08-07,-41775
2022-08-14,-26609
2022-08-21,-20410
2022-08-28,-10288
2022-09-04,-6545
2022-09-11,-4356
2022-09-18,-4364
2022-09-25,-18
2022-10-02,-2474
2022-10-09,-1321
2022-10-16,-1011
2022-10-23,-210
2022-10-30,183
2022-11-06,56
2022-11-13,1507
2022-11-20,1267
2022-11-27,1749
2022-12-04,5330
2022-12-11,6454
2022-12-18,7517
2022-12-25,7230
2023-01-01,-3134
2023-01-08,1116
2023-01-15,-2295
2023-01-22,-4123
2023-01-29,-1918
2023-02-05,-3023
2023-02-12,-1879
2023-02-19,1008
2023-02-26,603
2023-03-05,-887
2023-03-12,895
2023-03-19,-1292
2023-03-26,-3664
2023-04-02,-244
2023-04-09,-6505
2023-04-16,1261
2023-04-23,-468
2023-04-30,18
2023-05-07,-1310
2023-05-14,-680
2023-05-21,-7429
2023-05-28,5719
2023-06-04,-1878
2023-06-11,-824
2023-06-18,-356
2023-06-25,49
2023-07-02,68
2023-07-09,154
2023-07-16,179
2023-07-23,369
2023-07-30,264
2023-08-06,1479
2023-08-13,1139
2023-08-20,410
2023-08-27,1090
2023-09-03,1227
2023-09-10,583
2023-09-17,-2579
2023-09-24,-2292
2023-10-01,-2708
2023-10-08,-1829
2023-10-15,-73
2023-10-22,-25
2023-10-29,-67
2023-11-05,-26
2023-11-12,22
2023-11-19,-35
2023-11-26,28
2023-12-03,17
2023-12-10,-3
2023-12-17,17
2023-12-24,-55
2023-12-31,-57
2024-01-07,-7
