date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2
2020-03-15,13
2020-03-22,64
2020-03-29,215
2020-04-05,235
2020-04-12,97
2020-04-19,514
2020-04-26,72
2020-05-03,-380
2020-05-10,349
2020-05-17,-350
2020-05-24,-166
2020-05-31,-291
2020-06-07,-3
2020-06-14,170
2020-06-21,606
2020-06-28,891
2020-07-05,-93
2020-07-12,-225
2020-07-19,-247
2020-07-26,1157
2020-08-02,2776
2020-08-09,1550
2020-08-16,2054
2020-08-23,785
2020-08-30,-551
2020-09-06,860
2020-09-13,4171
2020-09-20,1106
2020-09-27,44
2020-10-04,562
2020-10-11,2626
2020-10-18,2457
2020-10-25,2480
2020-11-01,1073
2020-11-08,8478
2020-11-15,2925
2020-11-22,-3275
2020-11-29,-4025
2020-12-06,-1676
2020-12-13,-6191
2020-12-20,-3230
2020-12-27,-2293
2021-01-03,-3757
2021-01-10,-2083
2021-01-17,-2268
2021-01-24,-324
2021-01-31,-1982
2021-02-07,-647
2021-02-14,-1106
2021-02-21,-356
2021-02-28,-351
2021-03-07,102
2021-03-14,94
2021-03-21,173
2021-03-28,64
2021-04-04,579
2021-04-11,382
2021-04-18,-97
2021-04-25,-169
2021-05-02,-1065
2021-05-09,-459
2021-05-16,-877
2021-05-23,806
2021-05-30,61
2021-06-06,271
2021-06-13,98
2021-06-20,318
2021-06-27,118
2021-07-04,1860
2021-07-11,2739
2021-07-18,6623
2021-07-25,5591
2021-08-01,28692
2021-08-08,15398
2021-08-15,1020
2021-08-22,-10572
2021-08-29,-10968
2021-09-05,-11734
2021-09-12,-9858
2021-09-19,-6220
2021-09-26,-4987
2021-10-03,-4188
2021-10-10,-2284
2021-10-17,-911
2021-10-24,-849
2021-10-31,-329
2021-11-07,-537
2021-11-14,-497
2021-11-21,-177
2021-11-28,145
2021-12-05,35
2021-12-12,26
2021-12-19,369
2021-12-26,1711
2022-01-02,6874
2022-01-09,21868
2022-01-16,14403
2022-01-23,4649
2022-01-30,-15591
2022-02-06,-18261
2022-02-13,-8411
2022-02-20,-4352
2022-02-27,-2057
2022-03-06,-1245
2022-03-13,-382
2022-03-20,-50
2022-03-27,75
2022-04-03,70
2022-04-10,-59
2022-04-17,-107
2022-04-24,-58
2022-05-01,-42
2022-05-08,-30
2022-05-15,247
2022-05-22,324
2022-05-29,378
2022-06-05,986
2022-06-12,2996
2022-06-19,4444
2022-06-26,8101
2022-07-03,3395
2022-07-10,-3862
2022-07-17,-7599
2022-07-24,-2853
2022-07-31,-3371
2022-08-07,-1697
2022-08-14,-870
2022-08-21,-302
2022-08-28,-227
2022-09-04,-98
2022-09-11,-128
2022-09-18,-3
2022-09-25,-4
2022-10-02,-21
2022-10-09,36
2022-10-16,-10
2022-10-23,66
2022-10-30,9
2022-11-06,203
2022-11-13,203
2022-11-20,109
2022-11-27,324
2022-12-04,-28
2022-12-11,-178
2022-12-18,-160
2022-12-25,-201
2023-01-01,-111
2023-01-08,-78
2023-01-15,-85
2023-01-22,-69
2023-01-29,-72
2023-02-05,7
2023-02-12,2
2023-02-19,-17
2023-02-26,32
2023-03-05,-27
2023-03-12,-4
2023-03-19,19
2023-03-26,-22
2023-04-02,20
2023-04-09,-3
2023-04-16,102
2023-04-23,85
2023-04-30,92
2023-05-07,36
2023-05-14,-21
2023-05-21,25
2023-05-28,-193
2023-06-04,-12
2023-06-11,-66
2023-06-18,-16
2023-06-25,-39
2023-07-02,-15
2023-07-09,-9
2023-07-16,10
2023-07-23,-12
2023-07-30,7
2023-08-06,-8
2023-08-13,7
2023-08-20,47
2023-08-27,87
2023-09-03,148
2023-09-10,3
2023-09-17,-58
2023-09-24,-49
2023-10-01,-28
2023-10-08,-39
2023-10-15,-6
2023-10-22,4
2023-10-29,-12
2023-11-05,-124
2023-11-12,196
2023-11-19,-92
2023-11-26,0
2023-12-03,12
2023-12-10,-22
2023-12-17,5
2023-12-24,10
2023-12-31,-4
2024-01-07,25
