date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,9
2020-03-15,29
2020-03-22,233
2020-03-29,46
2020-04-05,643
2020-04-12,3342
2020-04-19,3290
2020-04-26,567
2020-05-03,10652
2020-05-10,2577
2020-05-17,1260
2020-05-24,4555
2020-05-31,9384
2020-06-07,2528
2020-06-14,-5766
2020-06-21,-6173
2020-06-28,-2737
2020-07-05,-1204
2020-07-12,812
2020-07-19,1844
2020-07-26,4533
2020-08-02,8350
2020-08-09,10366
2020-08-16,3281
2020-08-23,7350
2020-08-30,-5877
2020-09-06,-7007
2020-09-13,-7065
2020-09-20,-80
2020-09-27,-1570
2020-10-04,-11192
2020-10-11,-5189
2020-10-18,-2729
2020-10-25,1637
2020-11-01,-3635
2020-11-08,259
2020-11-15,-2176
2020-11-22,-1710
2020-11-29,-1200
2020-12-06,299
2020-12-13,-2453
2020-12-20,2734
2020-12-27,-1031
2021-01-03,-133
2021-01-10,619
2021-01-17,14280
2021-01-24,5521
2021-01-31,5706
2021-02-07,9391
2021-02-14,533
2021-02-21,1072
2021-02-28,-1935
2021-03-07,-4909
2021-03-14,2385
2021-03-21,4719
2021-03-28,11704
2021-04-04,-4778
2021-04-11,4213
2021-04-18,358
2021-04-25,-3928
2021-05-02,-2814
2021-05-09,-13770
2021-05-16,-436
2021-05-23,-3067
2021-05-30,-4528
2021-06-06,-3378
2021-06-13,-6721
2021-06-20,3233
2021-06-27,-5040
2021-07-04,-3001
2021-07-11,-3240
2021-07-18,2147
2021-07-25,-5025
2021-08-01,-2809
2021-08-08,5108
2021-08-15,-4483
2021-08-22,-55
2021-08-29,-1502
2021-09-05,-1416
2021-09-12,407
2021-09-19,13
2021-09-26,-386
2021-10-03,68
2021-10-10,-167
2021-10-17,-416
2021-10-24,455
2021-10-31,-37
2021-11-07,-134
2021-11-14,1418
2021-11-21,1612
2021-11-28,1381
2021-12-05,1450
2021-12-12,-3090
2021-12-19,2475
2021-12-26,146
2022-01-02,12944
2022-01-09,21773
2022-01-16,124520
2022-01-23,156491
2022-01-30,-5517
2022-02-06,-150655
2022-02-13,-76954
2022-02-20,-36746
2022-02-27,-29968
2022-03-06,-11028
2022-03-13,-5679
2022-03-20,-4762
2022-03-27,-1191
2022-04-03,-962
2022-04-10,-83
2022-04-17,693
2022-04-24,796
2022-05-01,541
2022-05-08,-747
2022-05-15,-1978
2022-05-22,870
2022-05-29,128
2022-06-05,1551
2022-06-12,255
2022-06-19,2386
2022-06-26,7066
2022-07-03,3927
2022-07-10,14216
2022-07-17,34305
2022-07-24,19731
2022-07-31,-8233
2022-08-07,-22693
2022-08-14,6337
2022-08-21,-14810
2022-08-28,-14231
2022-09-04,-16902
2022-09-11,-4003
2022-09-18,-4688
2022-09-25,1290
2022-10-02,-4705
2022-10-09,-246
2022-10-16,-2377
2022-10-23,234
2022-10-30,419
2022-11-06,3298
2022-11-13,4185
2022-11-20,4640
2022-11-27,18437
2022-12-04,29052
2022-12-11,9587
2022-12-18,-16186
2022-12-25,-22395
2023-01-01,-17477
2023-01-08,-3363
2023-01-15,-4605
2023-01-22,-3356
2023-01-29,-1261
2023-02-05,-1391
2023-02-12,-349
2023-02-19,-45
2023-02-26,-337
2023-03-05,632
2023-03-12,-92
2023-03-19,-100
2023-03-26,458
2023-04-02,446
2023-04-09,-2095
2023-04-16,4005
2023-04-23,-1546
2023-04-30,-684
2023-05-07,317
2023-05-14,-94
2023-05-21,-1998
2023-05-28,1063
2023-06-04,59
2023-06-11,166
2023-06-18,253
2023-06-25,-495
2023-07-02,-90
2023-07-09,-85
2023-07-16,-108
2023-07-23,-341
2023-07-30,-97
2023-08-06,50
2023-08-13,147
2023-08-20,21
2023-08-27,-15
2023-09-03,270
2023-09-10,-2
2023-09-17,-53
2023-09-24,-169
2023-10-01,-92
2023-10-08,281
2023-10-15,-254
2023-10-22,-69
2023-10-29,242
2023-11-05,272
2023-11-12,243
2023-11-19,240
2023-11-26,51
2023-12-03,606
2023-12-10,440
2023-12-17,755
2023-12-24,-1956
2023-12-31,-1298
2024-01-07,-35
