date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,-1
2020-02-23,0
2020-03-01,13
2020-03-08,152
2020-03-15,650
2020-03-22,60
2020-03-29,920
2020-04-05,1374
2020-04-12,447
2020-04-19,212
2020-04-26,463
2020-05-03,-420
2020-05-10,264
2020-05-17,-246
2020-05-24,-181
2020-05-31,517
2020-06-07,1599
2020-06-14,1343
2020-06-21,3
2020-06-28,191
2020-07-05,-2982
2020-07-12,-1991
2020-07-19,-770
2020-07-26,-234
2020-08-02,176
2020-08-09,419
2020-08-16,83
2020-08-23,-369
2020-08-30,-484
2020-09-06,104
2020-09-13,240
2020-09-20,500
2020-09-27,832
2020-10-04,768
2020-10-11,620
2020-10-18,1187
2020-10-25,3502
2020-11-01,8729
2020-11-08,6914
2020-11-15,7230
2020-11-22,-732
2020-11-29,4126
2020-12-06,2558
2020-12-13,4590
2020-12-20,3105
2020-12-27,-7804
2021-01-03,4099
2021-01-10,-1894
2021-01-17,-9881
2021-01-24,-6677
2021-01-31,-2687
2021-02-07,-883
2021-02-14,1328
2021-02-21,2142
2021-02-28,3812
2021-03-07,494
2021-03-14,1435
2021-03-21,3527
2021-03-28,4986
2021-04-04,1435
2021-04-11,1286
2021-04-18,711
2021-04-25,-4123
2021-05-02,-1444
2021-05-09,-1606
2021-05-16,-7573
2021-05-23,-7205
2021-05-30,-12315
2021-06-06,4176
2021-06-13,-6362
2021-06-20,-1453
2021-06-27,-1030
2021-07-04,-99
2021-07-11,-361
2021-07-18,361
2021-07-25,788
2021-08-01,797
2021-08-08,1147
2021-08-15,1203
2021-08-22,659
2021-08-29,215
2021-09-05,549
2021-09-12,749
2021-09-19,-1716
2021-09-26,-1964
2021-10-03,-60
2021-10-10,-112
2021-10-17,-49
2021-10-24,801
2021-10-31,1049
2021-11-07,-845
2021-11-14,704
2021-11-21,1139
2021-11-28,4592
2021-12-05,2237
2021-12-12,4352
2021-12-19,5846
2021-12-26,4194
2022-01-02,27291
2022-01-09,59141
2022-01-16,44688
2022-01-23,88201
2022-01-30,33565
2022-02-06,-90309
2022-02-13,-119467
2022-02-20,-48999
2022-02-27,-4568
2022-03-06,-4192
2022-03-13,-3468
2022-03-20,-1467
2022-03-27,-1430
2022-04-03,-2121
2022-04-10,-928
2022-04-17,-942
2022-04-24,-579
2022-05-01,-266
2022-05-08,-330
2022-05-15,-329
2022-05-22,187
2022-05-29,-506
2022-06-05,-68
2022-06-12,609
2022-06-19,238
2022-06-26,988
2022-07-03,983
2022-07-10,97
2022-07-17,1246
2022-07-24,557
2022-07-31,-265
2022-08-07,514
2022-08-14,421
2022-08-21,-4
2022-08-28,-1573
2022-09-04,-297
2022-09-11,307
2022-09-18,-22
2022-09-25,-92
2022-10-02,8616
2022-10-09,-9614
2022-10-16,-538
2022-10-23,-130
2022-10-30,185
2022-11-06,-70
2022-11-13,347
2022-11-20,-127
2022-11-27,599
2022-12-04,2331
2022-12-11,3075
2022-12-18,2979
2022-12-25,64
2023-01-01,-3483
2023-01-08,-3244
2023-01-15,-2138
2023-01-22,-1813
2023-01-29,-591
2023-02-05,-72
2023-02-12,-273
2023-02-19,-243
2023-02-26,-181
2023-03-05,68
2023-03-12,148
2023-03-19,20
2023-03-26,-814
2023-04-02,984
2023-04-09,-32
2023-04-16,32
2023-04-23,149
2023-04-30,-26
2023-05-07,-121
2023-05-14,-102
2023-05-21,-26
2023-05-28,-146
2023-06-04,-163
2023-06-11,-95
2023-06-18,-38
2023-06-25,-43
2023-07-02,-147
2023-07-09,-24
2023-07-16,-55
2023-07-23,-55
2023-07-30,17
2023-08-06,52
2023-08-13,8
2023-08-20,24
2023-08-27,151
2023-09-03,88
2023-09-10,73
2023-09-17,95
2023-09-24,-8
2023-10-01,20
2023-10-08,-81
2023-10-15,103
2023-10-22,266
2023-10-29,322
2023-11-05,1444
2023-11-12,793
2023-11-19,-179
2023-11-26,-62
2023-12-03,-690
2023-12-10,700
2023-12-17,-356
2023-12-24,-565
2023-12-31,-508
2024-01-07,-1863
