date,new_case_diff
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1
2020-02-09,19
2020-02-16,-9
2020-02-23,-8
2020-03-01,30
2020-03-08,278
2020-03-15,1590
2020-03-22,3554
2020-03-29,10591
2020-04-05,12772
2020-04-12,3812
2020-04-19,-1661
2020-04-26,2537
2020-05-03,-1655
2020-05-10,-7824
2020-05-17,-4008
2020-05-24,-3113
2020-05-31,-5193
2020-06-07,-2829
2020-06-14,-1832
2020-06-21,-160
2020-06-28,-1622
2020-07-05,-995
2020-07-12,8
2020-07-19,57
2020-07-26,629
2020-08-02,555
2020-08-09,894
2020-08-16,1379
2020-08-23,-69
2020-08-30,1126
2020-09-06,6669
2020-09-13,7111
2020-09-20,3216
2020-09-27,18543
2020-10-04,29717
2020-10-11,36404
2020-10-18,9564
2020-10-25,31483
2020-11-01,2331
2020-11-08,8368
2020-11-15,13020
2020-11-22,-34167
2020-11-29,-34853
2020-12-06,-1070
2020-12-13,33298
2020-12-20,79224
2020-12-27,25357
2021-01-03,134649
2021-01-10,44957
2021-01-17,-104794
2021-01-24,-71739
2021-01-31,-74267
2021-02-07,-40974
2021-02-14,-36887
2021-02-21,-13847
2021-02-28,-18683
2021-03-07,-19976
2021-03-14,-1192
2021-03-21,-2154
2021-03-28,-175
2021-04-04,-10864
2021-04-11,-6793
2021-04-18,-2994
2021-04-25,-614
2021-05-02,-1681
2021-05-09,-573
2021-05-16,1041
2021-05-23,1409
2021-05-30,5462
2021-06-06,11399
2021-06-13,16200
2021-06-20,17080
2021-06-27,40419
2021-07-04,67998
2021-07-11,50104
2021-07-18,97694
2021-07-25,-66173
2021-08-01,-69081
2021-08-08,5881
2021-08-15,9256
2021-08-22,29525
2021-08-29,12129
2021-09-05,13405
2021-09-12,-12045
2021-09-19,-42882
2021-09-26,38771
2021-10-03,-6774
2021-10-10,19442
2021-10-17,50375
2021-10-24,24318
2021-10-31,-44278
2021-11-07,-33666
2021-11-14,14621
2021-11-21,29260
2021-11-28,5684
2021-12-05,34757
2021-12-12,28302
2021-12-19,242263
2021-12-26,315372
2022-01-02,370335
2022-01-09,28261
2022-01-16,-596767
2022-01-23,6667
2022-01-30,-16673
2022-02-06,-125019
2022-02-13,-168348
2022-02-20,-104132
2022-02-27,-64429
2022-03-06,25610
2022-03-13,160247
2022-03-20,143760
2022-03-27,25124
2022-04-03,-127701
2022-04-10,-179625
2022-04-17,-89126
2022-04-24,-63232
2022-05-01,-52419
2022-05-08,-20809
2022-05-15,-13122
2022-05-22,-8263
2022-05-29,-9612
2022-06-05,2268
2022-06-12,29621
2022-06-19,21812
2022-06-26,34107
2022-07-03,29943
2022-07-10,35409
2022-07-17,-29194
2022-07-24,-56083
2022-07-31,-35732
2022-08-07,-17661
2022-08-14,-11329
2022-08-21,-10175
2022-08-28,-6059
2022-09-04,-177
2022-09-11,-270
2022-09-18,2869
2022-09-25,10895
2022-10-02,11048
2022-10-09,13741
2022-10-16,-7054
2022-10-23,-7512
2022-10-30,-15262
2022-11-06,-9337
2022-11-13,-4575
2022-11-20,-1884
2022-11-27,1039
2022-12-04,3194
2022-12-11,4943
2022-12-18,9961
2022-12-25,7630
2023-01-01,-6995
2023-01-08,-8254
2023-01-15,-13857
2023-01-22,-5397
2023-01-29,2365
2023-02-05,4689
2023-02-12,2035
2023-02-19,4731
2023-02-26,-113
2023-03-05,-605
2023-03-12,2180
2023-03-19,3923
2023-03-26,-1692
2023-04-02,-6477
2023-04-09,-8278
2023-04-16,-1977
2023-04-23,-2094
2023-04-30,-1331
2023-05-07,-389
2023-05-14,-2125
2023-05-21,-1485
2023-05-28,-734
2023-06-04,-1498
2023-06-11,-366
2023-06-18,-1275
2023-06-25,-816
2023-07-02,-610
2023-07-09,261
2023-07-16,659
2023-07-23,504
2023-07-30,1059
2023-08-06,1636
2023-08-13,1464
2023-08-20,769
2023-08-27,442
2023-09-03,1483
2023-09-10,3462
2023-09-17,-1660
2023-09-24,1289
2023-10-01,3860
2023-10-08,-339
2023-10-15,-3823
2023-10-22,-3989
2023-10-29,-1946
2023-11-05,-726
2023-11-12,-1720
2023-11-19,338
2023-11-26,-496
2023-12-03,629
2023-12-10,2147
2023-12-17,1850
2023-12-24,944
2023-12-31,-1620
2024-01-07,-8671
