date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,0
2020-02-23,0
2020-03-01,13
2020-03-08,165
2020-03-15,815
2020-03-22,875
2020-03-29,1795
2020-04-05,3169
2020-04-12,3616
2020-04-19,3828
2020-04-26,4291
2020-05-03,3871
2020-05-10,4135
2020-05-17,3889
2020-05-24,3708
2020-05-31,4225
2020-06-07,5824
2020-06-14,7167
2020-06-21,7170
2020-06-28,7361
2020-07-05,4379
2020-07-12,2388
2020-07-19,1618
2020-07-26,1384
2020-08-02,1560
2020-08-09,1979
2020-08-16,2062
2020-08-23,1693
2020-08-30,1209
2020-09-06,1313
2020-09-13,1553
2020-09-20,2053
2020-09-27,2885
2020-10-04,3653
2020-10-11,4273
2020-10-18,5460
2020-10-25,8962
2020-11-01,17691
2020-11-08,24605
2020-11-15,31835
2020-11-22,31103
2020-11-29,35229
2020-12-06,37787
2020-12-13,42377
2020-12-20,45482
2020-12-27,37678
2021-01-03,41777
2021-01-10,39883
2021-01-17,30002
2021-01-24,23325
2021-01-31,20638
2021-02-07,19755
2021-02-14,21083
2021-02-21,23225
2021-02-28,27037
2021-03-07,27531
2021-03-14,28966
2021-03-21,32493
2021-03-28,37479
2021-04-04,38914
2021-04-11,40200
2021-04-18,40911
2021-04-25,36788
2021-05-02,35344
2021-05-09,33738
2021-05-16,26165
2021-05-23,18960
2021-05-30,6645
2021-06-06,10821
2021-06-13,4459
2021-06-20,3006
2021-06-27,1976
2021-07-04,1877
2021-07-11,1516
2021-07-18,1877
2021-07-25,2665
2021-08-01,3462
2021-08-08,4609
2021-08-15,5812
2021-08-22,6471
2021-08-29,6686
2021-09-05,7235
2021-09-12,7984
2021-09-19,6268
2021-09-26,4304
2021-10-03,4244
2021-10-10,4132
2021-10-17,4083
2021-10-24,4884
2021-10-31,5933
2021-11-07,5088
2021-11-14,5792
2021-11-21,6931
2021-11-28,11523
2021-12-05,13760
2021-12-12,18112
2021-12-19,23958
2021-12-26,28152
2022-01-02,55443
2022-01-09,114584
2022-01-16,159272
2022-01-23,247473
2022-01-30,281038
2022-02-06,190729
2022-02-13,71262
2022-02-20,22263
2022-02-27,17695
2022-03-06,13503
2022-03-13,10035
2022-03-20,8568
2022-03-27,7138
2022-04-03,5017
2022-04-10,4089
2022-04-17,3147
2022-04-24,2568
2022-05-01,2302
2022-05-08,1972
2022-05-15,1643
2022-05-22,1830
2022-05-29,1324
2022-06-05,1256
2022-06-12,1865
2022-06-19,2103
2022-06-26,3091
2022-07-03,4074
2022-07-10,4171
2022-07-17,5417
2022-07-24,5974
2022-07-31,5709
2022-08-07,6223
2022-08-14,6644
2022-08-21,6640
2022-08-28,5067
2022-09-04,4770
2022-09-11,5077
2022-09-18,5055
2022-09-25,4963
2022-10-02,13579
2022-10-09,3965
2022-10-16,3427
2022-10-23,3297
2022-10-30,3482
2022-11-06,3412
2022-11-13,3759
2022-11-20,3632
2022-11-27,4231
2022-12-04,6562
2022-12-11,9637
2022-12-18,12616
2022-12-25,12680
2023-01-01,9197
2023-01-08,5953
2023-01-15,3815
2023-01-22,2002
2023-01-29,1411
2023-02-05,1339
2023-02-12,1066
2023-02-19,823
2023-02-26,642
2023-03-05,710
2023-03-12,858
2023-03-19,878
2023-03-26,64
2023-04-02,1048
2023-04-09,1016
2023-04-16,1048
2023-04-23,1197
2023-04-30,1171
2023-05-07,1050
2023-05-14,948
2023-05-21,922
2023-05-28,776
2023-06-04,613
2023-06-11,518
2023-06-18,480
2023-06-25,437
2023-07-02,290
2023-07-09,266
2023-07-16,211
2023-07-23,156
2023-07-30,173
2023-08-06,225
2023-08-13,233
2023-08-20,257
2023-08-27,408
2023-09-03,496
2023-09-10,569
2023-09-17,664
2023-09-24,656
2023-10-01,676
2023-10-08,595
2023-10-15,698
2023-10-22,964
2023-10-29,1286
2023-11-05,2730
2023-11-12,3523
2023-11-19,3344
2023-11-26,3282
2023-12-03,2592
2023-12-10,3292
2023-12-17,2936
2023-12-24,2371
2023-12-31,1863
2024-01-07,0
