date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,1
2020-03-08,12
2020-03-15,71
2020-03-22,820
2020-03-29,2513
2020-04-05,5639
2020-04-12,10582
2020-04-19,14044
2020-04-26,19313
2020-05-03,38594
2020-05-10,53739
2020-05-17,72895
2020-05-24,112667
2020-05-31,134276
2020-06-07,180605
2020-06-14,183039
2020-06-21,204103
2020-06-28,242061
2020-07-05,264107
2020-07-12,261746
2020-07-19,245501
2020-07-26,297038
2020-08-02,319119
2020-08-09,299957
2020-08-16,313078
2020-08-23,256810
2020-08-30,272473
2020-09-06,288029
2020-09-13,189332
2020-09-20,213019
2020-09-27,194430
2020-10-04,190910
2020-10-11,175365
2020-10-18,144412
2020-10-25,153356
2020-11-01,163002
2020-11-08,114523
2020-11-15,179471
2020-11-22,209512
2020-11-29,218186
2020-12-06,295618
2020-12-13,302259
2020-12-20,326751
2020-12-27,285582
2021-01-03,252018
2021-01-10,313130
2021-01-17,379784
2021-01-24,360428
2021-01-31,364593
2021-02-07,328652
2021-02-14,318290
2021-02-21,316221
2021-02-28,373954
2021-03-07,413597
2021-03-14,494153
2021-03-21,508010
2021-03-28,533024
2021-04-04,505668
2021-04-11,463092
2021-04-18,459281
2021-04-25,404623
2021-05-02,421933
2021-05-09,423438
2021-05-16,437076
2021-05-23,451424
2021-05-30,420981
2021-06-06,449478
2021-06-13,454710
2021-06-20,505344
2021-06-27,521298
2021-07-04,364709
2021-07-11,333030
2021-07-18,287610
2021-07-25,324334
2021-08-01,247830
2021-08-08,228473
2021-08-15,210254
2021-08-22,209099
2021-08-29,175807
2021-09-05,152154
2021-09-12,118790
2021-09-19,105369
2021-09-26,247397
2021-10-03,118035
2021-10-10,105079
2021-10-17,76746
2021-10-24,84367
2021-10-31,81558
2021-11-07,69057
2021-11-14,76738
2021-11-21,64121
2021-11-28,64313
2021-12-05,61779
2021-12-12,55415
2021-12-19,24196
2021-12-26,21717
2022-01-02,56784
2022-01-09,162701
2022-01-16,476981
2022-01-23,824579
2022-01-30,1283024
2022-02-06,1241025
2022-02-13,1009678
2022-02-20,773353
2022-02-27,519785
2022-03-06,395152
2022-03-13,331315
2022-03-20,267998
2022-03-27,229145
2022-04-03,172908
2022-04-10,148798
2022-04-17,123339
2022-04-24,91395
2022-05-01,94345
2022-05-08,110866
2022-05-15,120831
2022-05-22,97674
2022-05-29,158732
2022-06-05,216334
2022-06-12,279862
2022-06-19,256034
2022-06-26,349791
2022-07-03,410897
2022-07-10,396781
2022-07-17,419273
2022-07-24,255610
2022-07-31,284971
2022-08-07,203772
2022-08-14,153661
2022-08-21,116106
2022-08-28,104672
2022-09-04,87236
2022-09-11,60594
2022-09-18,62346
2022-09-25,45342
2022-10-02,48097
2022-10-09,42613
2022-10-16,31325
2022-10-23,34180
2022-10-30,41585
2022-11-06,26836
2022-11-13,59135
2022-11-20,91297
2022-11-27,150008
2022-12-04,188043
2022-12-11,194170
2022-12-18,337810
2022-12-25,254811
2023-01-01,206944
2023-01-08,145933
2023-01-15,120721
2023-01-22,114916
2023-01-29,78416
2023-02-05,75391
2023-02-12,63681
2023-02-19,57343
2023-02-26,32849
2023-03-05,55522
2023-03-12,9467
2023-03-19,59994
2023-03-26,59163
2023-04-02,53986
2023-04-09,60591
2023-04-16,38838
2023-04-23,49140
2023-04-30,42186
2023-05-07,38553
2023-05-14,23950
2023-05-21,0
2023-05-28,603
2023-06-04,461
2023-06-11,318
2023-06-18,346
2023-06-25,346
2023-07-02,280
2023-07-09,262
2023-07-16,204
2023-07-23,164
2023-07-30,161
2023-08-06,207
2023-08-13,236
2023-08-20,384
2023-08-27,486
2023-09-03,558
2023-09-10,646
2023-09-17,1147
2023-09-24,1022
2023-10-01,208
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
