date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,1
2020-02-23,0
2020-03-01,0
2020-03-08,47
2020-03-15,62
2020-03-22,184
2020-03-29,282
2020-04-05,494
2020-04-12,869
2020-04-19,1093
2020-04-26,1287
2020-05-03,1874
2020-05-10,2771
2020-05-17,2755
2020-05-24,4794
2020-05-31,6936
2020-06-07,9163
2020-06-14,10368
2020-06-21,10778
2020-06-28,10165
2020-07-05,10112
2020-07-12,7123
2020-07-19,6014
2020-07-26,4411
2020-08-02,2733
2020-08-09,998
2020-08-16,1022
2020-08-23,901
2020-08-30,1260
2020-09-06,1215
2020-09-13,1144
2020-09-20,1044
2020-09-27,836
2020-10-04,839
2020-10-11,812
2020-10-18,910
2020-10-25,1100
2020-11-01,1158
2020-11-08,1407
2020-11-15,1585
2020-11-22,2129
2020-11-29,2507
2020-12-06,2831
2020-12-13,3075
2020-12-20,3802
2020-12-27,6424
2021-01-03,9563
2021-01-10,7921
2021-01-17,6708
2021-01-24,5636
2021-01-31,4275
2021-02-07,3688
2021-02-14,4096
2021-02-21,4341
2021-02-28,4286
2021-03-07,4093
2021-03-14,4358
2021-03-21,4491
2021-03-28,4593
2021-04-04,4892
2021-04-11,5421
2021-04-18,5807
2021-04-25,6086
2021-05-02,7014
2021-05-09,7688
2021-05-16,8248
2021-05-23,8170
2021-05-30,7969
2021-06-06,6512
2021-06-13,5320
2021-06-20,4265
2021-06-27,3249
2021-07-04,1898
2021-07-11,1082
2021-07-18,651
2021-07-25,349
2021-08-01,277
2021-08-08,379
2021-08-15,616
2021-08-22,911
2021-08-29,1476
2021-09-05,2040
2021-09-12,2792
2021-09-19,3800
2021-09-26,4669
2021-10-03,5085
2021-10-10,5546
2021-10-17,6009
2021-10-24,6148
2021-10-31,6351
2021-11-07,6498
2021-11-14,6444
2021-11-21,6487
2021-11-28,6254
2021-12-05,6493
2021-12-12,6075
2021-12-19,6076
2021-12-26,6109
2022-01-02,5838
2022-01-09,5587
2022-01-16,6934
2022-01-23,9616
2022-01-30,12983
2022-02-06,15872
2022-02-13,15471
2022-02-20,14627
2022-02-27,13279
2022-03-06,9149
2022-03-13,5497
2022-03-20,5516
2022-03-27,4375
2022-04-03,3913
2022-04-10,2800
2022-04-17,868
2022-04-24,623
2022-05-01,322
2022-05-08,56
2022-05-15,35
2022-05-22,35
2022-05-29,28
2022-06-05,31
2022-06-12,33
2022-06-19,39
2022-06-26,41
2022-07-03,45
2022-07-10,49
2022-07-17,231
2022-07-24,246
2022-07-31,232
2022-08-07,191
2022-08-14,116
2022-08-21,66
2022-08-28,44
2022-09-04,27
2022-09-11,13
2022-09-18,13
2022-09-25,10
2022-10-02,10
2022-10-09,7
2022-10-16,9
2022-10-23,4
2022-10-30,5
2022-11-06,6
2022-11-13,8
2022-11-20,11
2022-11-27,11
2022-12-04,14
2022-12-11,19
2022-12-18,18
2022-12-25,21
2023-01-01,19
2023-01-08,23
2023-01-15,24
2023-01-22,29
2023-01-29,26
2023-02-05,31
2023-02-12,32
2023-02-19,31
2023-02-26,30
2023-03-05,33
2023-03-12,31
2023-03-19,29
2023-03-26,30
2023-04-02,31
2023-04-09,29
2023-04-16,28
2023-04-23,26
2023-04-30,27
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
