date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,1
2020-03-01,5
2020-03-08,45
2020-03-15,183
2020-03-22,669
2020-03-29,1214
2020-04-05,2134
2020-04-12,3291
2020-04-19,5958
2020-04-26,9264
2020-05-03,11571
2020-05-10,15196
2020-05-17,19538
2020-05-24,24187
2020-05-31,26973
2020-06-07,30556
2020-06-14,34822
2020-06-21,37587
2020-06-28,39306
2020-07-05,43553
2020-07-12,44406
2020-07-19,49775
2020-07-26,50177
2020-08-02,45999
2020-08-09,41814
2020-08-16,39452
2020-08-23,37867
2020-08-30,39230
2020-09-06,38873
2020-09-13,35339
2020-09-20,29659
2020-09-27,33716
2020-10-04,32636
2020-10-11,33071
2020-10-18,38778
2020-10-25,44301
2020-11-01,42679
2020-11-08,40741
2020-11-15,48200
2020-11-22,44816
2020-11-29,56457
2020-12-06,64076
2020-12-13,73050
2020-12-20,77433
2020-12-27,64816
2021-01-03,72877
2021-01-10,105375
2021-01-17,110588
2021-01-24,104374
2021-01-31,90123
2021-02-07,61598
2021-02-14,53192
2021-02-21,43136
2021-02-28,42204
2021-03-07,40192
2021-03-14,34305
2021-03-21,28302
2021-03-28,28664
2021-04-04,21218
2021-04-11,26011
2021-04-18,23767
2021-04-25,20925
2021-05-02,19142
2021-05-09,16175
2021-05-16,14482
2021-05-23,14750
2021-05-30,15313
2021-06-06,16193
2021-06-13,19451
2021-06-20,22779
2021-06-27,29738
2021-07-04,37423
2021-07-11,55106
2021-07-18,78515
2021-07-25,102995
2021-08-01,122311
2021-08-08,128282
2021-08-15,135141
2021-08-22,120883
2021-08-29,103015
2021-09-05,87342
2021-09-12,76284
2021-09-19,57961
2021-09-26,58868
2021-10-03,44758
2021-10-10,36194
2021-10-17,31059
2021-10-24,25762
2021-10-31,23445
2021-11-07,18907
2021-11-14,20001
2021-11-21,17228
2021-11-28,19349
2021-12-05,18247
2021-12-12,17484
2021-12-19,16128
2021-12-26,21003
2022-01-02,56920
2022-01-09,194803
2022-01-16,406782
2022-01-23,406815
2022-01-30,282729
2022-02-06,166547
2022-02-13,86372
2022-02-20,61576
2022-02-27,37281
2022-03-06,21369
2022-03-13,14069
2022-03-20,10068
2022-03-27,6920
2022-04-03,6523
2022-04-10,4757
2022-04-17,3205
2022-04-24,3846
2022-05-01,3993
2022-05-08,4324
2022-05-15,5359
2022-05-22,7750
2022-05-29,12237
2022-06-05,19550
2022-06-12,34371
2022-06-19,55313
2022-06-26,97266
2022-07-03,152465
2022-07-10,200105
2022-07-17,213873
2022-07-24,179987
2022-07-31,122038
2022-08-07,80263
2022-08-14,53654
2022-08-21,33244
2022-08-28,22956
2022-09-04,16411
2022-09-11,12055
2022-09-18,7691
2022-09-25,7673
2022-10-02,5199
2022-10-09,3878
2022-10-16,2867
2022-10-23,2657
2022-10-30,2840
2022-11-06,2896
2022-11-13,4403
2022-11-20,5670
2022-11-27,7419
2022-12-04,12749
2022-12-11,19203
2022-12-18,26720
2022-12-25,33950
2023-01-01,30816
2023-01-08,31932
2023-01-15,29637
2023-01-22,25514
2023-01-29,23596
2023-02-05,20573
2023-02-12,18694
2023-02-19,19702
2023-02-26,20305
2023-03-05,19418
2023-03-12,20313
2023-03-19,19021
2023-03-26,15357
2023-04-02,15113
2023-04-09,8608
2023-04-16,9869
2023-04-23,9401
2023-04-30,9419
2023-05-07,8109
2023-05-14,7429
2023-05-21,0
2023-05-28,5719
2023-06-04,3841
2023-06-11,3017
2023-06-18,2661
2023-06-25,2710
2023-07-02,2778
2023-07-09,2932
2023-07-16,3111
2023-07-23,3480
2023-07-30,3744
2023-08-06,5223
2023-08-13,6362
2023-08-20,6772
2023-08-27,7862
2023-09-03,9089
2023-09-10,9672
2023-09-17,7093
2023-09-24,4801
2023-10-01,2093
2023-10-08,264
2023-10-15,191
2023-10-22,166
2023-10-29,99
2023-11-05,73
2023-11-12,95
2023-11-19,60
2023-11-26,88
2023-12-03,105
2023-12-10,102
2023-12-17,119
2023-12-24,64
2023-12-31,7
2024-01-07,0
