date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,1
2020-03-08,11
2020-03-15,59
2020-03-22,749
2020-03-29,1693
2020-04-05,3126
2020-04-12,4943
2020-04-19,3462
2020-04-26,5269
2020-05-03,19281
2020-05-10,15145
2020-05-17,19156
2020-05-24,39772
2020-05-31,21609
2020-06-07,46329
2020-06-14,2434
2020-06-21,21064
2020-06-28,37958
2020-07-05,22046
2020-07-12,-2361
2020-07-19,-16245
2020-07-26,51537
2020-08-02,22081
2020-08-09,-19162
2020-08-16,13121
2020-08-23,-56268
2020-08-30,15663
2020-09-06,15556
2020-09-13,-98697
2020-09-20,23687
2020-09-27,-18589
2020-10-04,-3520
2020-10-11,-15545
2020-10-18,-30953
2020-10-25,8944
2020-11-01,9646
2020-11-08,-48479
2020-11-15,64948
2020-11-22,30041
2020-11-29,8674
2020-12-06,77432
2020-12-13,6641
2020-12-20,24492
2020-12-27,-41169
2021-01-03,-33564
2021-01-10,61112
2021-01-17,66654
2021-01-24,-19356
2021-01-31,4165
2021-02-07,-35941
2021-02-14,-10362
2021-02-21,-2069
2021-02-28,57733
2021-03-07,39643
2021-03-14,80556
2021-03-21,13857
2021-03-28,25014
2021-04-04,-27356
2021-04-11,-42576
2021-04-18,-3811
2021-04-25,-54658
2021-05-02,17310
2021-05-09,1505
2021-05-16,13638
2021-05-23,14348
2021-05-30,-30443
2021-06-06,28497
2021-06-13,5232
2021-06-20,50634
2021-06-27,15954
2021-07-04,-156589
2021-07-11,-31679
2021-07-18,-45420
2021-07-25,36724
2021-08-01,-76504
2021-08-08,-19357
2021-08-15,-18219
2021-08-22,-1155
2021-08-29,-33292
2021-09-05,-23653
2021-09-12,-33364
2021-09-19,-13421
2021-09-26,142028
2021-10-03,-129362
2021-10-10,-12956
2021-10-17,-28333
2021-10-24,7621
2021-10-31,-2809
2021-11-07,-12501
2021-11-14,7681
2021-11-21,-12617
2021-11-28,192
2021-12-05,-2534
2021-12-12,-6364
2021-12-19,-31219
2021-12-26,-2479
2022-01-02,35067
2022-01-09,105917
2022-01-16,314280
2022-01-23,347598
2022-01-30,458445
2022-02-06,-41999
2022-02-13,-231347
2022-02-20,-236325
2022-02-27,-253568
2022-03-06,-124633
2022-03-13,-63837
2022-03-20,-63317
2022-03-27,-38853
2022-04-03,-56237
2022-04-10,-24110
2022-04-17,-25459
2022-04-24,-31944
2022-05-01,2950
2022-05-08,16521
2022-05-15,9965
2022-05-22,-23157
2022-05-29,61058
2022-06-05,57602
2022-06-12,63528
2022-06-19,-23828
2022-06-26,93757
2022-07-03,61106
2022-07-10,-14116
2022-07-17,22492
2022-07-24,-163663
2022-07-31,29361
2022-08-07,-81199
2022-08-14,-50111
2022-08-21,-37555
2022-08-28,-11434
2022-09-04,-17436
2022-09-11,-26642
2022-09-18,1752
2022-09-25,-17004
2022-10-02,2755
2022-10-09,-5484
2022-10-16,-11288
2022-10-23,2855
2022-10-30,7405
2022-11-06,-14749
2022-11-13,32299
2022-11-20,32162
2022-11-27,58711
2022-12-04,38035
2022-12-11,6127
2022-12-18,143640
2022-12-25,-82999
2023-01-01,-47867
2023-01-08,-61011
2023-01-15,-25212
2023-01-22,-5805
2023-01-29,-36500
2023-02-05,-3025
2023-02-12,-11710
2023-02-19,-6338
2023-02-26,-24494
2023-03-05,22673
2023-03-12,-46055
2023-03-19,50527
2023-03-26,-831
2023-04-02,-5177
2023-04-09,6605
2023-04-16,-21753
2023-04-23,10302
2023-04-30,-6954
2023-05-07,-3633
2023-05-14,-14603
2023-05-21,-23950
2023-05-28,603
2023-06-04,-142
2023-06-11,-143
2023-06-18,28
2023-06-25,0
2023-07-02,-66
2023-07-09,-18
2023-07-16,-58
2023-07-23,-40
2023-07-30,-3
2023-08-06,46
2023-08-13,29
2023-08-20,148
2023-08-27,102
2023-09-03,72
2023-09-10,88
2023-09-17,501
2023-09-24,-125
2023-10-01,-814
2023-10-08,-208
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
