date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,3
2020-03-08,17
2020-03-15,784
2020-03-22,-305
2020-03-29,376
2020-04-05,1001
2020-04-12,43
2020-04-19,-673
2020-04-26,-43
2020-05-03,-241
2020-05-10,-50
2020-05-17,-373
2020-05-24,-108
2020-05-31,-87
2020-06-07,-53
2020-06-14,-76
2020-06-21,82
2020-06-28,-33
2020-07-05,-117
2020-07-12,-18
2020-07-19,97
2020-07-26,46
2020-08-02,112
2020-08-09,324
2020-08-16,225
2020-08-23,-215
2020-08-30,-156
2020-09-06,395
2020-09-13,864
2020-09-20,1058
2020-09-27,898
2020-10-04,-688
2020-10-11,-309
2020-10-18,79
2020-10-25,1611
2020-11-01,2470
2020-11-08,939
2020-11-15,-1031
2020-11-22,1709
2020-11-29,162
2020-12-06,1785
2020-12-13,7754
2020-12-20,6232
2020-12-27,-4929
2021-01-03,-3187
2021-01-10,-3675
2021-01-17,-4740
2021-01-24,-2241
2021-01-31,-1540
2021-02-07,-1087
2021-02-14,-210
2021-02-21,133
2021-02-28,637
2021-03-07,-57
2021-03-14,1998
2021-03-21,-662
2021-03-28,-229
2021-04-04,968
2021-04-11,-1286
2021-04-18,247
2021-04-25,649
2021-05-02,-244
2021-05-09,1102
2021-05-16,1220
2021-05-23,-237
2021-05-30,-345
2021-06-06,-573
2021-06-13,-2279
2021-06-20,-2019
2021-06-27,-598
2021-07-04,850
2021-07-11,1533
2021-07-18,3156
2021-07-25,-1428
2021-08-01,514
2021-08-08,227
2021-08-15,804
2021-08-22,-143
2021-08-29,-214
2021-09-05,-1609
2021-09-12,-1404
2021-09-19,-1138
2021-09-26,-163
2021-10-03,688
2021-10-10,714
2021-10-17,1011
2021-10-24,2301
2021-10-31,4181
2021-11-07,2708
2021-11-14,6060
2021-11-21,6623
2021-11-28,1384
2021-12-05,3487
2021-12-12,10867
2021-12-19,24700
2021-12-26,12633
2022-01-02,46071
2022-01-09,1236
2022-01-16,27845
2022-01-23,95978
2022-01-30,70696
2022-02-06,-32233
2022-02-13,33305
2022-02-20,-59261
2022-02-27,-83840
2022-03-06,-58015
2022-03-13,-30719
2022-03-20,-34735
2022-03-27,-16695
2022-04-03,-13860
2022-04-10,-6614
2022-04-17,-5224
2022-04-24,-1584
2022-05-01,-4358
2022-05-08,-1557
2022-05-15,-1140
2022-05-22,-655
2022-05-29,-883
2022-06-05,390
2022-06-12,1179
2022-06-19,2552
2022-06-26,2862
2022-07-03,2413
2022-07-10,2444
2022-07-17,235
2022-07-24,-1035
2022-07-31,-3501
2022-08-07,-306
2022-08-14,1170
2022-08-21,-2096
2022-08-28,-2822
2022-09-04,-1740
2022-09-11,311
2022-09-18,-223
2022-09-25,1013
2022-10-02,2102
2022-10-09,693
2022-10-16,156
2022-10-23,-1143
2022-10-30,-1491
2022-11-06,-2005
2022-11-13,-314
2022-11-20,-394
2022-11-27,476
2022-12-04,2206
2022-12-11,2404
2022-12-18,-2033
2022-12-25,2177
2023-01-01,-1332
2023-01-08,-2896
2023-01-15,-2404
2023-01-22,-1097
2023-01-29,-293
2023-02-05,8
2023-02-12,-111
2023-02-19,-81
2023-02-26,-57
2023-03-05,-68
2023-03-12,90
2023-03-19,403
2023-03-26,336
2023-04-02,-275
2023-04-09,-494
2023-04-16,18
2023-04-23,-82
2023-04-30,-165
2023-05-07,-62
2023-05-14,78
2023-05-21,-235
2023-05-28,-18
2023-06-04,-156
2023-06-11,-21
2023-06-18,-10
2023-06-25,-136
2023-07-02,53
2023-07-09,-20
2023-07-16,27
2023-07-23,5
2023-07-30,-32
2023-08-06,46
2023-08-13,36
2023-08-20,135
2023-08-27,8
2023-09-03,85
2023-09-10,60
2023-09-17,-48
2023-09-24,-237
2023-10-01,175
2023-10-08,-319
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,941
2023-11-12,138
2023-11-19,130
2023-11-26,445
2023-12-03,384
2023-12-10,429
2023-12-17,-2467
2023-12-24,0
2023-12-31,0
2024-01-07,0
