location,p,q,rmse,mase,mae
India,4,4,203463.35438748426,21.3833972293511,194418.8658662711
United Kingdom,4,4,31907.320528328266,1.3012774051268994,31342.44364870506
Peru,4,4,24259.705909010514,34.86520830497747,23967.34033765023
Italy,4,4,21149.739488059564,1.121877951539193,15647.419440472693
Mexico,4,4,38466.75015788654,2.5366881547785396,37517.859398522676
Argentina,4,4,51082.71420452659,67.40731029019791,50049.92789047195
Sweden,4,4,13654.811498241532,18.328564410346747,13368.50576539434
Malaysia,4,4,6144.376744394414,1.2341466649224586,4216.6677718184
Morocco,4,4,6122.4152178279155,62.75371797465556,5967.579752161293
Australia,4,4,17102.62347022964,0.9871148484055479,12581.154786680481
