location,p,q,rmse,mase,mae,.estimator
Morocco,0,2,106.05813731771148,1.8347727243664544,78.26871938821778,standard
Sweden,2,1,1061.108703406488,2.764727548840691,721.9310521436206,standard
Peru,0,4,2438.696107500053,4.370205301493006,2292.01279507327,standard
Malaysia,2,1,7604.342294555686,2.919382875186936,6854.283764176701,standard
Argentina,0,5,11065.649655523763,62.22229756514666,10948.08913743824,standard
Mexico,3,1,13357.46611162439,11.923684482906983,12663.243742419965,standard
Italy,3,1,17095.940796640025,2.7804327112463136,14202.924997070044,standard
India,0,4,17524.352878530055,3.7080779370794015,13624.473191007957,standard
UK,0,1,26283.96443309316,13.574090025065082,25572.59238112322,standard
Australia,2,3,42815.4565330884,12.754936559246545,35363.528254531506,standard
