"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","AUS","Oceania","Australia",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-42.7,-1.44,-1.44,-1.663417
"2","AUS","Oceania","Australia",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-103.2,-1.74,-2.04,-4.020249
"3","AUS","Oceania","Australia",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-121.7,-1.37,-0.63,-4.740933
"4","AUS","Oceania","Australia",2020-01-26,4,4,NA,NA,0,NA,0.153,0.153,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-37.199997,-0.32,2.89,-1.4491594
"5","AUS","Oceania","Australia",2020-02-02,12,8,NA,NA,0,NA,0.458,0.306,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-20.099997,-0.14,0.59,-0.78301346
"6","AUS","Oceania","Australia",2020-02-09,15,3,2.143,NA,0,0,0.573,0.115,0.082,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,-32.6,-0.19,-0.43,-1.2699623
"7","AUS","Oceania","Australia",2020-02-16,15,0,2.143,NA,0,0,0.573,0,0.082,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,83.700005,0.41,3.99,3.2606091
"8","AUS","Oceania","Australia",2020-02-23,22,7,3.143,NA,0,0,0.84,0.267,0.12,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,170,0.72,2.9,6.6225033
"9","AUS","Oceania","Australia",2020-03-01,25,3,3.571,NA,0,0,0.955,0.115,0.136,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,312.1,1.18,4.82,12.158137
"10","AUS","Oceania","Australia",2020-03-08,70,45,10,4,4,0.571,2.674,1.719,0.382,0.153,0.153,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,7216,420,0.278,0.016,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,321.6,1.09,0.32,12.528218
"11","AUS","Oceania","Australia",2020-03-15,249,179,35,7,3,1,9.512,6.838,1.337,0.267,0.115,0.038,2.32,NA,NA,NA,NA,NA,NA,NA,NA,22567,2071,0.871,0.08,2193,0.085,0.0144,69.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,373.5,1.15,1.77,14.550029
"12","AUS","Oceania","Australia",2020-03-22,1081,832,152.714,9,2,1.286,41.295,31.783,5.834,0.344,0.076,0.049,2.44,NA,NA,NA,NA,NA,NA,NA,NA,132593,10089,5.115,0.389,15718,0.606,0.0114,87.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,509,1.44,4.58,19.828554
"13","AUS","Oceania","Australia",2020-03-29,3809,2728,542,16,7,2.286,145.507,104.212,20.705,0.611,0.267,0.087,1.42,NA,NA,NA,NA,NA,NA,NA,NA,223514,13445,8.623,0.519,12989,0.501,0.0268,37.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,675.5,1.76,5.59,26.31471
"14","AUS","Oceania","Australia",2020-04-05,5635,1826,802.857,36,20,5.143,215.262,69.755,30.67,1.375,0.764,0.196,0.71,96,3.667,457,17.458,NA,NA,NA,NA,297240,9783,11.467,0.377,10532,0.406,0.0231,43.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.15,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,898.8,2.18,7.46,35.013565
"15","AUS","Oceania","Australia",2020-04-12,6289,654,895.286,61,25,8.714,240.245,24.983,34.201,2.33,0.955,0.333,0.42,79,3.018,227,8.672,NA,NA,NA,NA,354043,3236,13.658,0.125,8115,0.313,0.0111,90.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.15,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,999.89996,2.26,3.33,38.952003
"16","AUS","Oceania","Australia",2020-04-19,6586,297,937.286,73,12,10.429,251.591,11.346,35.805,2.789,0.458,0.398,0.38,49,1.872,170,6.494,NA,NA,NA,NA,421099,14589,16.245,0.563,9579,0.37,0.0044,227.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,1040.7999,2.2,1.34,40.5453
"17","AUS","Oceania","Australia",2020-04-26,6703,117,947.571,85,12,11.571,256.06,4.47,36.198,3.247,0.458,0.442,0.44,43,1.643,113,4.317,NA,NA,NA,NA,506450,12193,19.538,0.47,12193,0.47,0.0012,820.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,1051.1,2.09,0.34,40.946545
"18","AUS","Oceania","Australia",2020-05-03,6783,80,933.429,99,14,13.143,259.117,3.056,35.658,3.782,0.535,0.502,0.75,28,1.07,70,2.674,NA,NA,NA,NA,633107,21524,24.424,0.83,18094,0.698,9e-04,1172.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,1014.39996,1.9,-1.2,39.516865
"19","AUS","Oceania","Australia",2020-05-10,6929,146,835.429,101,2,13.143,264.694,5.577,31.914,3.858,0.076,0.502,0.77,16,0.611,49,1.872,NA,NA,NA,NA,827872,32416,31.938,1.251,27824,1.073,6e-04,1545.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,987.89996,1.74,-0.83,38.48453
"20","AUS","Oceania","Australia",2020-05-17,7036,107,461,103,2,12.429,268.781,4.087,17.611,3.935,0.076,0.475,0.76,12,0.458,45,1.719,NA,NA,NA,NA,1042126,26474,40.204,1.021,30608,1.181,5e-04,2021.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,951.6,1.59,-1.14,37.070435
"21","AUS","Oceania","Australia",2020-05-24,7106,70,210.143,107,4,10.143,271.455,2.674,8.028,4.087,0.153,0.387,0.83,5,0.191,31,1.184,NA,NA,NA,NA,1225667,32273,47.285,1.245,26220,1.012,3e-04,3059.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.13,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,903.69995,1.43,-1.47,35.204445
"22","AUS","Oceania","Australia",2020-05-31,7185,79,128,107,0,6.571,274.473,3.018,4.89,4.087,0,0.251,0.96,3,0.115,20,0.764,NA,NA,NA,NA,1458592,25829,56.27,0.996,33275,1.284,4e-04,2647,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.43,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,26177410,802.6,1.21,-3.08,31.266005
