"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","BGR","Europe","Bulgaria",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-474.9,-18.51,-18.51,-68.045235
"2","BGR","Europe","Bulgaria",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-769.8,-15.03,-11.53,-110.29948
"3","BGR","Europe","Bulgaria",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1114.5,-14.6,-13.73,-159.68922
"4","BGR","Europe","Bulgaria",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1230.2,-12.15,-4.65,-176.26709
"5","BGR","Europe","Bulgaria",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1258.5,-10.01,-1.16,-180.32202
"6","BGR","Europe","Bulgaria",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1225.4,-8.25,1.44,-175.57935
"7","BGR","Europe","Bulgaria",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1217.7001,-7.1,0.34,-174.47607
"8","BGR","Europe","Bulgaria",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1344.8,-6.93,-5.6,-192.68738
"9","BGR","Europe","Bulgaria",2020-03-01,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1454.7001,-6.71,-4.86,-208.4342
"10","BGR","Europe","Bulgaria",2020-03-08,4,4,0.571,NA,0,0,0.59,0.59,0.084,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,6781955,-1694.4,-7.08,-10.65,-242.7792
