"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","CHL","South America","Chile",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-485.1,-24.01,-24.01,-25.134302
"2","CHL","South America","Chile",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-364,-9.21,6.27,-18.859793
"3","CHL","South America","Chile",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-288.4,-4.86,3.82,-14.942759
"4","CHL","South America","Chile",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-322.5,-4.07,-1.71,-16.70957
"5","CHL","South America","Chile",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-355.4,-3.58,-1.64,-18.414204
"6","CHL","South America","Chile",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-286,-2.41,3.61,-14.818409
"7","CHL","South America","Chile",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-298.4,-2.17,-0.65,-15.460885
"8","CHL","South America","Chile",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-368,-2.34,-3.54,-19.067043
"9","CHL","South America","Chile",2020-03-01,1,1,0.143,NA,0,0,0.051,0.051,0.007,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-354.6,-2.01,0.72,-18.372755
"10","CHL","South America","Chile",2020-03-08,7,6,1,NA,0,0,0.357,0.306,0.051,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-347,-1.78,0.4,-17.97898
"11","CHL","South America","Chile",2020-03-15,61,54,8.714,NA,0,0,3.112,2.755,0.445,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-302.4,-1.41,2.37,-15.668136
"12","CHL","South America","Chile",2020-03-22,537,476,76.714,NA,0,0,27.393,24.281,3.913,NA,0,0,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-188.5,-0.81,6.01,-9.766679
"13","CHL","South America","Chile",2020-03-29,1909,1372,272.714,6,6,0.857,97.379,69.987,13.911,0.306,0.306,0.044,1.88,NA,NA,NA,NA,NA,NA,NA,NA,20874,1777,1.071,0.091,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-112.1,-0.44,3.96,-5.808194
"14","CHL","South America","Chile",2020-04-05,4161,2252,594.429,27,21,3.857,212.255,114.876,30.322,1.377,1.071,0.197,1.42,307,15.66,NA,NA,NA,NA,NA,NA,44414,3343,2.278,0.171,3363,0.173,0.1028,9.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-5.699997,-0.02,5.39,-0.29533178
"15","CHL","South America","Chile",2020-04-12,6927,2766,989.571,73,46,10.429,353.351,141.096,50.479,3.724,2.346,0.532,1.21,387,19.741,NA,NA,NA,NA,561,28.617,74729,5897,3.834,0.303,4331,0.222,0.0985,10.1,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,-35.299995,-0.12,-1.45,-1.8289852
"16","CHL","South America","Chile",2020-04-19,9730,2803,1389.857,126,53,18,496.334,142.983,70.898,6.427,2.704,0.918,1.19,373,19.027,NA,NA,180,9.182,618,31.525,106107,4758,5.443,0.244,4483,0.23,0.1053,9.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,54.600006,0.17,4.5,2.8289692
"17","CHL","South America","Chile",2020-04-26,12858,3128,1835.857,181,55,25.857,655.895,159.561,93.648,9.233,2.806,1.319,1.35,415,21.169,NA,NA,231,11.783,689,35.146,148433,6763,7.615,0.347,6047,0.31,0.0958,10.4,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,77.00001,0.23,1.08,3.989572
"18","CHL","South America","Chile",2020-05-03,18435,5577,2624.857,247,66,35.286,940.382,284.487,133.896,12.6,3.367,1.8,1.6,449,22.904,NA,NA,222,11.324,1013,51.674,198676,6818,10.192,0.35,7178,0.368,0.1479,6.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,92.600006,0.26,0.75,4.7978487
"19","CHL","South America","Chile",2020-05-10,27219,8784,3811.714,304,57,43.429,1388.46,448.078,194.438,15.507,2.908,2.215,1.5,565,28.821,NA,NA,310,15.813,1655,84.423,273142,12780,14.012,0.656,10638,0.546,0.1533,6.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.78,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,19603736,391,1.05,14.6,20.258734
