"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","HRV","Europe","Croatia",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-153.7,-12.95,-12.95,-37.516426
"2","HRV","Europe","Croatia",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-335,-13.82,-14.65,-81.7697
"3","HRV","Europe","Croatia",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-551.1,-15.07,-17.54,-134.51726
"4","HRV","Europe","Croatia",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-630,-12.94,-6.51,-153.77586
"5","HRV","Europe","Croatia",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-709.9,-11.75,-6.81,-173.27855
"6","HRV","Europe","Croatia",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-790,-11,-7.03,-192.83005
"7","HRV","Europe","Croatia",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-817.1,-9.84,-2.42,-199.44484
"8","HRV","Europe","Croatia",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-867,-9.23,-4.56,-211.62486
"9","HRV","Europe","Croatia",2020-03-01,6,6,0.857,NA,0,0,1.489,1.489,0.213,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-942.1,-8.98,-6.85,-229.95592
"10","HRV","Europe","Croatia",2020-03-08,12,6,1.714,NA,0,0,2.977,1.489,0.425,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,10,0.081,0.002,NA,NA,NA,NA,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,4030361,-993.19995,-8.56,-4.62,-242.42885
