"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","GUF","South America","French Guiana",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-1,-4.55,-4.55,-3.436686
"2","GUF","South America","French Guiana",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-8.8,-21.05,-39.39,-30.242836
"3","GUF","South America","French Guiana",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-14.4,-22.36,-24.78,-49.488277
"4","GUF","South America","French Guiana",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-16,-18.39,-7.08,-54.986977
"5","GUF","South America","French Guiana",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-16.6,-15.72,-3.23,-57.04899
"6","GUF","South America","French Guiana",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-25,-20.16,-45.65,-85.917145
"7","GUF","South America","French Guiana",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-30,-20.83,-25,-103.10058
"8","GUF","South America","French Guiana",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-30.8,-19.04,-4.49,-105.84992
"9","GUF","South America","French Guiana",2020-03-01,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-35.2,-19.53,-23.91,-120.971344
"10","GUF","South America","French Guiana",2020-03-08,5,5,0.714,NA,0,0,16.417,16.417,2.345,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,2.897,NA,NA,NA,NA,NA,NA,NA,NA,79.95,NA,304568,-36.8,-18.6,-9.09,-126.47004
