"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","ITA","Europe","Italy",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-1904.1,-12.37,-12.37,-32.00137
"2","ITA","Europe","Italy",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-3614.4,-11.63,-10.9,-60.74563
"3","ITA","Europe","Italy",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-5027.9,-10.8,-9.14,-84.5017
"4","ITA","Europe","Italy",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-5961,-9.7,-6.25,-100.18391
"5","ITA","Europe","Italy",2020-02-02,3,3,NA,NA,0,NA,0.051,0.051,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-6878.1,-9.02,-6.19,-115.5972
"6","ITA","Europe","Italy",2020-02-09,3,0,0.429,NA,0,0,0.051,0,0.007,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-7684.4,-8.48,-5.62,-129.14833
"7","ITA","Europe","Italy",2020-02-16,3,0,0.429,NA,0,0,0.051,0,0.007,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-8225.1,-7.85,-3.81,-138.23563
"8","ITA","Europe","Italy",2020-02-23,79,76,11.286,2,2,0.286,1.338,1.287,0.191,0.034,0.034,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-8888.8,-7.49,-4.77,-149.39015
"9","ITA","Europe","Italy",2020-03-01,1128,1049,161.143,29,27,4.143,19.107,17.768,2.73,0.491,0.457,0.07,3.03,140,2.371,779,13.195,NA,NA,2224,37.671,21127,2466,0.357,0.042,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.35,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-9038.899,-6.82,-1.08,-151.91281
"10","ITA","Europe","Italy",2020-03-08,5883,4755,840.429,233,204,33.286,99.649,80.542,14.236,3.947,3.455,0.564,2.45,650,11.01,4207,71.26,NA,NA,6942,117.586,49937,7875,0.843,0.133,4116,0.069,0.1972,5.1,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.54,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-7883.3994,-5.4,8.53,-132.49283
"11","ITA","Europe","Italy",2020-03-15,21157,15274,3022.429,1441,1208,205.857,358.366,258.717,51.195,24.408,20.462,3.487,1.98,1672,28.321,11335,191.997,NA,NA,12659,214.423,124899,15729,2.108,0.266,10709,0.181,0.2317,4.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,-2833.6992,-1.78,38.3,-47.624737
"12","ITA","Europe","Italy",2020-03-22,53578,32421,7653.571,4825,3384,689.286,907.525,549.16,129.639,81.728,57.32,11.675,1.53,3009,50.968,22855,387.127,NA,NA,18187,308.059,258402,25180,4.362,0.425,19072,0.322,0.2576,3.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.19,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,6413.4004,3.73,72.92,107.7872
"13","ITA","Europe","Italy",2020-03-29,92472,38894,13209.857,10023,5198,1431.857,1566.327,658.802,223.754,169.774,88.046,24.253,1.07,3906,66.161,31292,530.036,NA,NA,15179,257.108,454030,24504,7.664,0.414,27947,0.472,0.1971,5.1,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.19,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,17233.3,9.33,85.62,289.6325
"14","ITA","Europe","Italy",2020-04-05,124632,32160,17804.143,15362,5339,2194.571,2111.066,544.739,301.574,260.208,90.434,37.173,0.9,3977,67.364,32926,557.714,NA,NA,9418,159.526,691461,34237,11.672,0.578,33919,0.573,0.1317,7.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.19,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,59037472,25765.4,13.08,68.98,433.02774
