"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","MYS","Asia","Malaysia",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"2","MYS","Asia","Malaysia",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"3","MYS","Asia","Malaysia",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"4","MYS","Asia","Malaysia",2020-01-26,4,4,NA,NA,0,NA,0.118,0.118,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,0.001,0,NA,NA,NA,NA,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"5","MYS","Asia","Malaysia",2020-02-02,8,4,NA,NA,0,NA,0.236,0.118,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,66,0.01,0.002,47,0.001,0.0121,82.3,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"6","MYS","Asia","Malaysia",2020-02-09,16,8,2.286,NA,0,0,0.471,0.236,0.067,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,108,0.032,0.003,105,0.003,0.0122,81.6,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"7","MYS","Asia","Malaysia",2020-02-16,22,6,3.143,NA,0,0,0.648,0.177,0.093,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2163,124,0.064,0.004,153,0.005,0.0047,214.3,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"8","MYS","Asia","Malaysia",2020-02-23,22,0,3.143,NA,0,0,0.648,0,0.093,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2929,119,0.087,0.004,109,0.003,0,NA,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"9","MYS","Asia","Malaysia",2020-03-01,25,3,3.571,NA,0,0,0.737,0.088,0.105,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4077,198,0.121,0.006,164,0.005,0.0061,164,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
"10","MYS","Asia","Malaysia",2020-03-08,93,68,13.286,NA,0,0,2.74,2.004,0.391,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8239,456,0.245,0.014,595,0.018,0.0168,59.5,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,33938216,NA,NA,NA,NA
