"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","NPL","Asia","Nepal",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"2","NPL","Asia","Nepal",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"3","NPL","Asia","Nepal",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"4","NPL","Asia","Nepal",2020-01-26,5,5,NA,NA,0,NA,0.164,0.164,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"5","NPL","Asia","Nepal",2020-02-02,5,0,NA,NA,0,NA,0.164,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"6","NPL","Asia","Nepal",2020-02-09,5,0,0.714,NA,0,0,0.164,0,0.023,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"7","NPL","Asia","Nepal",2020-02-16,5,0,0.714,NA,0,0,0.164,0,0.023,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,0.001,NA,2,0,0,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"8","NPL","Asia","Nepal",2020-02-23,5,0,0.714,NA,0,0,0.164,0,0.023,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,0.007,NA,26,0.001,0,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"9","NPL","Asia","Nepal",2020-03-01,5,0,0.714,NA,0,0,0.164,0,0.023,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,0.008,NA,4,0,0,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"10","NPL","Asia","Nepal",2020-03-08,5,0,0.714,NA,0,0,0.164,0,0.023,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0.001,NA,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"11","NPL","Asia","Nepal",2020-03-15,5,0,0,NA,0,0,0.164,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,NA,0.016,NA,4,0,0,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"12","NPL","Asia","Nepal",2020-03-22,5,0,0,NA,0,0,0.164,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,NA,0.019,NA,15,0,0,NA,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"13","NPL","Asia","Nepal",2020-03-29,5,0,0,NA,0,0,0.164,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,42,0.031,0.001,49,0.002,0.012,83.3,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"14","NPL","Asia","Nepal",2020-04-05,9,4,0.571,NA,0,0,0.295,0.131,0.019,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642,121,0.055,0.004,104,0.003,0.006,166.7,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"15","NPL","Asia","Nepal",2020-04-12,12,3,1,NA,0,0,0.393,0.098,0.033,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5184,758,0.173,0.025,506,0.017,0.001,1000,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"16","NPL","Asia","Nepal",2020-04-19,31,19,3.714,NA,0,0,1.015,0.622,0.122,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8081,68,0.269,0.002,414,0.014,0.007,142.9,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"17","NPL","Asia","Nepal",2020-04-26,51,20,6.571,NA,0,0,1.67,0.655,0.215,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9931,265,0.331,0.009,264,0.009,0.011,90.9,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"18","NPL","Asia","Nepal",2020-05-03,75,24,10,NA,0,0,2.455,0.786,0.327,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13424,326,0.447,0.011,499,0.017,0.007,142.9,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"19","NPL","Asia","Nepal",2020-05-10,110,35,15,NA,0,0,3.601,1.146,0.491,NA,0,0,1.72,NA,NA,NA,NA,NA,NA,NA,NA,16898,589,0.563,0.02,496,0.017,0.01,100,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"20","NPL","Asia","Nepal",2020-05-17,295,185,41.429,2,2,0.286,9.657,6.056,1.356,0.065,0.065,0.009,1.83,NA,NA,NA,NA,NA,NA,NA,NA,28161,1470,0.938,0.049,1609,0.054,0.016,62.5,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"21","NPL","Asia","Nepal",2020-05-24,603,308,84.857,3,1,0.429,19.74,10.083,2.778,0.098,0.033,0.014,1.85,NA,NA,NA,NA,NA,NA,NA,NA,48815,2856,1.625,0.095,2951,0.098,0.015,66.7,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"22","NPL","Asia","Nepal",2020-05-31,1572,969,222.857,8,5,1.143,51.461,31.721,7.295,0.262,0.164,0.037,2.03,NA,NA,NA,NA,NA,NA,NA,NA,69587,2858,2.317,0.095,2967,0.099,0.047,21.3,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
"23","NPL","Asia","Nepal",2020-06-07,3448,1876,488.143,14,6,2,112.873,61.412,15.98,0.458,0.196,0.065,1.51,NA,NA,NA,NA,NA,NA,NA,NA,96205,3728,3.203,0.124,3803,0.127,0.07,14.3,"samples tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.59,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,NA,NA,NA,NA
