"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","NLD","Europe","Netherlands",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-259.2,-7.71,-7.71,-14.867022
"2","NLD","Europe","Netherlands",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-327.40002,-4.82,-1.99,-18.778793
"3","NLD","Europe","Netherlands",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-538.60004,-5.3,-6.27,-30.892662
"4","NLD","Europe","Netherlands",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-908.4,-6.69,-10.83,-52.103405
"5","NLD","Europe","Netherlands",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-1132.6,-6.68,-6.62,-64.96291
"6","NLD","Europe","Netherlands",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-1306,-6.42,-5.15,-74.908676
"7","NLD","Europe","Netherlands",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-1521,-6.4,-6.3,-87.24051
"8","NLD","Europe","Netherlands",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-2029.8,-7.46,-14.67,-116.42392
"9","NLD","Europe","Netherlands",2020-03-01,19,19,2.714,NA,0,0,1.082,1.082,0.155,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-2321.2,-7.58,-8.6,-133.13785
"10","NLD","Europe","Netherlands",2020-03-08,330,311,47.143,4,4,0.571,18.788,17.707,2.684,0.228,0.228,0.033,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-2632,-7.74,-9.09,-150.96451
"11","NLD","Europe","Netherlands",2020-03-15,1606,1276,229.429,40,36,5.714,91.437,72.649,13.062,2.277,2.05,0.325,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,17564020,-2684.2,-7.2,-1.6,-153.95856
