"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","PRT","Europe","Portugal",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-336,-11.81,-11.81,-32.627106
"2","PRT","Europe","Portugal",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-530.6,-9.3,-6.81,-51.523636
"3","PRT","Europe","Portugal",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-668.8,-7.76,-4.75,-64.943474
"4","PRT","Europe","Portugal",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-875.19995,-7.61,-7.17,-84.98584
"5","PRT","Europe","Portugal",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-922.6,-6.48,-1.73,-89.58859
"6","PRT","Europe","Portugal",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-1131.2,-6.68,-7.73,-109.84458
"7","PRT","Europe","Portugal",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-1538.2,-7.84,-15.1,-149.3661
"8","PRT","Europe","Portugal",2020-02-23,1,1,0.143,NA,0,0,0.097,0.097,0.014,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-1737.7999,-7.83,-7.8,-168.74815
"9","PRT","Europe","Portugal",2020-03-01,2,1,0.286,NA,0,0,0.195,0.097,0.028,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.002,NA,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-1943.6,-7.87,-8.18,-188.73227
"10","PRT","Europe","Portugal",2020-03-08,29,27,4.143,NA,0,0,2.824,2.629,0.403,NA,0,0,NA,NA,NA,30,2.921,NA,NA,NA,NA,495,84,0.048,0.008,67,0.007,0.064,15.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,-2151.6,-7.94,-8.7,-208.93001
