"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","PRI","North America","Puerto Rico",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-122,-18.29,-18.29,-37.290966
"2","PRI","North America","Puerto Rico",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-173.4,-13.3,-8.08,-53.002075
"3","PRI","North America","Puerto Rico",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-160.59999,-8.23,1.98,-49.089577
"4","PRI","North America","Puerto Rico",2020-01-26,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-167.59999,-6.5,-1.12,-51.229225
"5","PRI","North America","Puerto Rico",2020-02-02,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-226.19998,-7.04,-9.23,-69.14111
"6","PRI","North America","Puerto Rico",2020-02-09,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-250.39998,-6.53,-3.9,-76.53817
"7","PRI","North America","Puerto Rico",2020-02-16,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-244.79997,-5.52,0.93,-74.826454
"8","PRI","North America","Puerto Rico",2020-02-23,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-233.99997,-4.65,1.82,-71.52528
"9","PRI","North America","Puerto Rico",2020-03-01,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-211.19997,-3.75,3.82,-64.55615
"10","PRI","North America","Puerto Rico",2020-03-08,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,4,0.018,0.001,8,0.002,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-169.59998,-2.73,7.22,-51.840546
"11","PRI","North America","Puerto Rico",2020-03-15,2,2,0.286,NA,0,0,0.615,0.615,0.088,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,5,0.033,0.002,7,0.002,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,3252412,-144.19998,-2.13,4.37,-44.07669
