"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","KOR","Asia","South Korea",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,24.4,0.38,0.38,0.47063646
"2","KOR","Asia","South Korea",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,-104.799995,-0.81,-2,-2.0214221
"3","KOR","Asia","South Korea",2020-01-19,1,1,NA,NA,0,NA,0.019,0.019,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,-112.799995,-0.59,-0.12,-2.175729
"4","KOR","Asia","South Korea",2020-01-26,3,2,NA,NA,0,NA,0.058,0.039,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,43.4,0.17,2.47,0.8371157
"5","KOR","Asia","South Korea",2020-02-02,15,12,NA,NA,0,NA,0.289,0.232,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,139.20001,0.44,1.51,2.6849427
"6","KOR","Asia","South Korea",2020-02-09,27,12,3.857,NA,0,0,0.521,0.232,0.074,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246,501,0.024,0.01,NA,NA,NA,NA,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,392.40002,1.03,4.1,7.5687604
"7","KOR","Asia","South Korea",2020-02-16,30,3,4.286,NA,0,0,0.579,0.058,0.083,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6809,427,0.131,0.008,795,0.015,7e-04,1392.3,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,374.2,0.84,-0.29,7.217712
"8","KOR","Asia","South Korea",2020-02-23,556,526,79.429,3,3,0.429,10.73,10.151,1.533,0.058,0.058,0.008,4.5,NA,NA,NA,NA,NA,NA,NA,NA,24827,4593,0.479,0.089,2574,0.05,0.0318,31.4,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,119.80002,0.24,-4.09,2.310748
"9","KOR","Asia","South Korea",2020-03-01,3526,2970,503.714,17,14,2.429,68.049,57.318,9.721,0.328,0.27,0.047,2.35,NA,NA,NA,NA,NA,NA,NA,NA,97569,4866,1.882,0.094,10392,0.201,0.0431,23.2,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,-61.999985,-0.11,-2.94,-1.1958792
"10","KOR","Asia","South Korea",2020-03-08,7134,3608,1019,50,33,7.143,137.68,69.631,19.666,0.965,0.637,0.138,0.71,NA,NA,NA,NA,NA,NA,NA,NA,187166,10329,3.611,0.199,12800,0.247,0.0399,25,"people tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,-222.59999,-0.35,-2.62,-4.293593
