"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","THA","Asia","Thailand",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"2","THA","Asia","Thailand",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6,0.001,0,7,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"3","THA","Asia","Thailand",2020-01-19,6,6,NA,NA,0,NA,0.084,0.084,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,6,0.002,0,11,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"4","THA","Asia","Thailand",2020-02-02,23,18,NA,NA,0,NA,0.321,0.251,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223,153,0.017,0.002,128,0.002,0.0123,81.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"5","THA","Asia","Thailand",2020-02-09,29,6,NA,NA,0,0,0.404,0.084,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495,61,0.035,0.001,182,0.003,0.0102,98,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"6","THA","Asia","Thailand",2020-02-16,38,9,5.571,NA,0,0,0.53,0.126,0.078,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963,33,0.041,0,67,0.001,0.0043,234.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"7","THA","Asia","Thailand",2020-02-23,39,1,5.714,NA,0,0,0.544,0.014,0.08,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4218,255,0.059,0.004,179,0.002,8e-04,1251.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"8","THA","Asia","Thailand",2020-03-01,46,7,6.714,1,1,0.143,0.642,0.098,0.094,0.014,0.014,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,9709,621,0.136,0.009,784,0.011,0.0013,784,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"9","THA","Asia","Thailand",2020-03-08,54,8,7,1,0,0.143,0.753,0.112,0.098,0.014,0,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,14354,560,0.2,0.008,664,0.009,0.0017,580.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"10","THA","Asia","Thailand",2020-03-15,114,60,15.571,1,0,0.143,1.59,0.837,0.217,0.014,0,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,22539,2106,0.315,0.029,1169,0.016,0.0078,127.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"11","THA","Asia","Thailand",2020-03-22,599,485,82.286,1,0,0.143,8.355,6.765,1.148,0.014,0,0.002,1.86,NA,NA,NA,NA,NA,NA,NA,NA,39317,2058,0.549,0.029,2397,0.033,0.0289,34.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.31,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"12","THA","Asia","Thailand",2020-03-29,1388,789,194.143,7,6,1,19.359,11.005,2.708,0.098,0.084,0.014,1.4,NA,NA,NA,NA,NA,NA,NA,NA,58637,2251,0.819,0.031,2760,0.039,0.0407,24.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.06,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"13","THA","Asia","Thailand",2020-04-05,2169,781,304.429,23,16,3.286,30.252,10.893,4.246,0.321,0.223,0.046,1.01,NA,NA,NA,NA,NA,NA,NA,NA,78679,3525,1.099,0.049,2863,0.04,0.0391,25.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"14","THA","Asia","Thailand",2020-04-12,2551,382,358.857,38,15,5.429,35.58,5.328,5.005,0.53,0.209,0.076,0.75,NA,NA,NA,NA,NA,NA,NA,NA,105111,2754,1.468,0.038,3776,0.053,0.0145,69.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"15","THA","Asia","Thailand",2020-04-19,2765,214,388.429,47,9,6.571,38.565,2.985,5.418,0.656,0.126,0.092,0.64,NA,NA,NA,NA,NA,NA,NA,NA,138545,4466,1.935,0.062,4776,0.067,0.0064,156.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"16","THA","Asia","Thailand",2020-04-26,2922,157,409.714,51,4,7.143,40.755,2.19,5.715,0.711,0.056,0.1,0.57,NA,NA,NA,NA,NA,NA,NA,NA,182423,5836,2.548,0.082,6268,0.088,0.0036,279.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.85,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"17","THA","Asia","Thailand",2020-05-03,2969,47,407.857,54,3,7.571,41.41,0.656,5.689,0.753,0.042,0.106,0.51,NA,NA,NA,NA,NA,NA,NA,NA,243313,6085,3.398,0.085,8699,0.121,8e-04,1295.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"18","THA","Asia","Thailand",2020-05-10,3009,40,344.286,56,2,7.857,41.968,0.558,4.802,0.781,0.028,0.11,0.53,NA,NA,NA,NA,NA,NA,NA,NA,290694,5576,4.06,0.078,6769,0.095,8e-04,1184.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"19","THA","Asia","Thailand",2020-05-17,3028,19,234.286,56,0,7,42.233,0.265,3.268,0.781,0,0.098,0.63,NA,NA,NA,NA,NA,NA,NA,NA,336297,4043,4.697,0.056,6515,0.091,4e-04,2400.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.15,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"20","THA","Asia","Thailand",2020-05-24,3040,12,124.429,56,0,4.714,42.401,0.167,1.735,0.781,0,0.066,0.84,NA,NA,NA,NA,NA,NA,NA,NA,387823,4298,5.416,0.06,7361,0.103,2e-04,4294.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"21","THA","Asia","Thailand",2020-05-31,3081,41,75.714,57,1,2.714,42.972,0.572,1.056,0.795,0.014,0.038,0.91,NA,NA,NA,NA,NA,NA,NA,NA,445726,4797,6.225,0.067,8272,0.116,7e-04,1412.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,-142.59985,-0.07,-5.35,-1.9950826
"22","THA","Asia","Thailand",2020-06-07,3112,31,49.571,58,1,1.571,43.405,0.432,0.691,0.809,0.014,0.022,0.86,NA,NA,NA,NA,NA,NA,NA,NA,500150,5081,6.985,0.071,7775,0.109,6e-04,1755.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"23","THA","Asia","Thailand",2020-06-14,3135,23,30.429,58,0,1,43.726,0.321,0.424,0.809,0,0.014,0.81,NA,NA,NA,NA,NA,NA,NA,NA,556894,4798,7.778,0.067,8106,0.113,4e-04,2466.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"24","THA","Asia","Thailand",2020-06-21,3148,13,25.571,58,0,0.571,43.907,0.181,0.357,0.809,0,0.008,0.92,NA,NA,NA,NA,NA,NA,NA,NA,604371,3605,8.441,0.05,6782,0.095,3e-04,3652.1,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"25","THA","Asia","Thailand",2020-06-28,3162,14,21.857,58,0,0.286,44.102,0.195,0.305,0.809,0,0.004,1.02,NA,NA,NA,NA,NA,NA,NA,NA,638699,2547,8.92,0.036,4904,0.068,4e-04,2452,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"26","THA","Asia","Thailand",2020-07-05,3190,28,23.143,58,0,0.286,44.493,0.391,0.323,0.809,0,0.004,1.06,NA,NA,NA,NA,NA,NA,NA,NA,668610,2529,9.338,0.035,4273,0.06,9e-04,1068.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"27","THA","Asia","Thailand",2020-07-12,3217,27,25.286,58,0,0.286,44.869,0.377,0.353,0.809,0,0.004,0.98,NA,NA,NA,NA,NA,NA,NA,NA,693780,2813,9.69,0.039,3596,0.05,0.0011,932.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
"28","THA","Asia","Thailand",2020-07-19,3249,32,24,58,0,0.143,45.316,0.446,0.335,0.809,0,0.002,0.99,NA,NA,NA,NA,NA,NA,NA,NA,731999,3320,10.223,0.046,5460,0.076,8e-04,1194.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
