"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","USA","North America","United States",2020-01-05,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-2771,-4.41,-4.41,-8.248447
"2","USA","North America","United States",2020-01-12,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-5332.6,-4.23,-4.06,-15.873573
"3","USA","North America","United States",2020-01-19,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-7748.4004,-4.13,-3.92,-23.064695
"4","USA","North America","United States",2020-01-26,7,7,NA,NA,0,NA,0.021,0.021,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-9482,-3.82,-2.85,-28.22511
"5","USA","North America","United States",2020-02-02,9,2,NA,NA,0,NA,0.027,0.006,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-11206,-3.63,-2.85,-33.356945
"6","USA","North America","United States",2020-02-09,20,11,2.857,NA,0,0,0.059,0.033,0.008,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-12422.8,-3.36,-2.01,-36.979
"7","USA","North America","United States",2020-02-16,24,4,3.429,NA,0,0,0.071,0.012,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-13959.399,-3.25,-2.55,-41.553
"8","USA","North America","United States",2020-02-23,40,16,5.714,NA,0,0,0.118,0.047,0.017,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-14718.999,-3.01,-1.28,-43.814106
"9","USA","North America","United States",2020-03-01,73,33,10.429,1,1,0.143,0.216,0.098,0.031,0.003,0.003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,348,0.001,0.001,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-14790.599,-2.7,-0.12,-44.027237
"10","USA","North America","United States",2020-03-08,464,391,66.286,19,18,2.714,1.372,1.156,0.196,0.056,0.053,0.008,3.46,NA,NA,NA,NA,NA,NA,NA,NA,8505,1638,0.025,0.005,1165,0.003,0.111,9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.37,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-14646.198,-2.41,0.24,-43.5974
"11","USA","North America","United States",2020-03-15,3929,3465,560.286,69,50,9.857,11.614,10.243,1.656,0.204,0.148,0.029,3.42,NA,NA,NA,NA,NA,NA,NA,NA,67322,14442,0.2,0.043,8402,0.025,0.096,10.4,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-14491.398,-2.18,0.27,-43.136604
"12","USA","North America","United States",2020-03-22,31415,27486,4486.571,374,305,53.429,92.864,81.25,13.263,1.106,0.902,0.158,3.18,NA,NA,NA,NA,NA,NA,NA,NA,471628,73938,1.399,0.219,57758,0.171,0.137,7.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-13434.198,-1.86,1.82,-39.989635
"13","USA","North America","United States",2020-03-29,126309,94894,18041.286,2106,1732,300.857,373.375,280.511,53.331,6.225,5.12,0.889,2.12,NA,NA,NA,NA,NA,NA,NA,NA,1267961,110263,3.763,0.327,113762,0.338,0.184,5.4,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,-7854.7983,-1.01,9.74,-23.38141
"14","USA","North America","United States",2020-04-05,302460,176151,43205.143,8748,6642,1249.714,894.085,520.71,127.716,25.859,19.634,3.694,1.49,NA,NA,NA,NA,NA,NA,NA,NA,2304390,138656,6.838,0.411,148061,0.439,0.21,4.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,7098.602,0.85,26.15,21.130438
"15","USA","North America","United States",2020-04-12,521632,219172,74513.143,22637,13889,3233.857,1541.968,647.882,220.264,66.916,41.057,9.559,1.11,NA,NA,NA,NA,NA,NA,NA,NA,3464086,111575,10.279,0.331,165671,0.492,0.2,5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,29248.402,3.27,39,87.06384
"16","USA","North America","United States",2020-04-19,717782,196150,102529.857,38535,15898,5504.857,2121.796,579.828,303.083,113.911,46.995,16.273,1.03,NA,NA,NA,NA,NA,NA,NA,NA,4597996,134423,13.644,0.399,161987,0.481,0.183,5.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,50278,5.29,37.78,149.66273
"17","USA","North America","United States",2020-04-26,922947,205165,131783.286,53434,14899,7630.714,2728.273,606.477,389.557,157.953,44.042,22.557,0.99,NA,NA,NA,NA,NA,NA,NA,NA,6100208,171690,18.102,0.509,214602,0.637,0.154,6.5,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,69004.4,6.86,34.02,205.40569
"18","USA","North America","United States",2020-05-03,1121383,198436,159636.286,67069,13635,9571.429,3314.858,586.586,471.892,198.259,40.306,28.294,0.95,NA,NA,NA,NA,NA,NA,NA,NA,8026548,207704,23.818,0.616,275191,0.817,0.128,7.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,83116.195,7.83,25.63,247.41232
"19","USA","North America","United States",2020-05-10,1303629,182246,181744.857,79827,12758,11350.429,3853.586,538.727,537.246,235.972,37.713,33.552,0.91,NA,NA,NA,NA,NA,NA,NA,NA,10307904,249079,30.587,0.739,325908,0.967,0.1,10,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,95572.4,8.57,22.96,284.49075
"20","USA","North America","United States",2020-05-17,1472661,169032,192336,89957,10130,12550.143,4353.252,499.666,568.554,265.917,29.945,37.099,0.95,NA,NA,NA,NA,NA,NA,NA,NA,13067038,304469,38.775,0.903,394162,1.17,0.082,12.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,106271.195,9.09,19.92,316.33792
"21","USA","North America","United States",2020-05-24,1638986,166325,190932.286,98515,8558,12823.857,4844.916,491.664,564.404,291.215,25.298,37.908,0.95,NA,NA,NA,NA,NA,NA,NA,NA,16007015,346924,47.499,1.029,419997,1.246,0.072,13.9,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,114198.8,9.34,14.79,339.93604
"22","USA","North America","United States",2020-05-31,1785422,146436,180541.429,105325,6810,11812.571,5277.788,432.871,533.689,311.345,20.131,34.918,0.99,NA,NA,NA,NA,NA,NA,NA,NA,19263248,373561,57.161,1.108,465176,1.38,0.065,15.4,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,120591.195,9.45,12.02,358.96432
"23","USA","North America","United States",2020-06-07,1935202,149780,173917.143,111312,5987,10396.714,5720.544,442.756,514.107,329.043,17.698,30.733,1,NA,NA,NA,NA,NA,NA,NA,NA,22870161,405716,67.864,1.204,515273,1.529,0.058,17.2,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,125730.99,9.46,9.58,374.26398
