date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4
2020-02-02,4
2020-02-09,-5
2020-02-16,-3
2020-02-23,7
2020-03-01,-4
2020-03-08,42
2020-03-15,134
2020-03-22,653
2020-03-29,1896
2020-04-05,-902
2020-04-12,-1172
2020-04-19,-357
2020-04-26,-180
2020-05-03,-37
2020-05-10,66
2020-05-17,-39
2020-05-24,-37
2020-05-31,9
2020-06-07,-9
2020-06-14,-23
2020-06-21,87
2020-06-28,71
2020-07-05,516
2020-07-12,470
2020-07-19,697
2020-07-26,621
2020-08-02,823
2020-08-09,84
2020-08-16,-1079
2020-08-23,-770
2020-08-30,-622
2020-09-06,-285
2020-09-13,-260
2020-09-20,-122
2020-09-27,-147
2020-10-04,-26
2020-10-11,18
2020-10-18,16
2020-10-25,-23
2020-11-01,-25
2020-11-08,-29
2020-11-15,-3
2020-11-22,37
2020-11-29,-18
2020-12-06,-7
2020-12-13,-2
2020-12-20,34
2020-12-27,65
2021-01-03,19
2021-01-10,-75
2021-01-17,1
2021-01-24,-55
2021-01-31,-13
2021-02-07,-6
2021-02-14,9
2021-02-21,-20
2021-02-28,16
2021-03-07,23
2021-03-14,13
2021-03-21,-1
2021-03-28,-15
2021-04-04,24
2021-04-11,-31
2021-04-18,57
2021-04-25,33
2021-05-02,13
2021-05-09,-63
2021-05-16,-45
2021-05-23,-16
2021-05-30,51
2021-06-06,270
2021-06-13,-299
2021-06-20,29
2021-06-27,148
2021-07-04,41
2021-07-11,273
2021-07-18,326
2021-07-25,385
2021-08-01,407
2021-08-08,646
2021-08-15,1300
2021-08-22,2520
2021-08-29,2007
2021-09-05,2954
2021-09-12,1502
2021-09-19,-295
2021-09-26,197
2021-10-03,2903
2021-10-10,-120
2021-10-17,66
2021-10-24,-1588
2021-10-31,-3713
2021-11-07,-380
2021-11-14,-965
2021-11-21,629
2021-11-28,414
2021-12-05,782
2021-12-12,2877
2021-12-19,18086
2021-12-26,68275
2022-01-02,189850
2022-01-09,299199
2022-01-16,-126488
2022-01-23,-114365
2022-01-30,-80143
2022-02-06,-66705
2022-02-13,-29358
2022-02-20,-11325
2022-02-27,-27
2022-03-06,35315
2022-03-13,46131
2022-03-20,85392
2022-03-27,58522
2022-04-03,10220
2022-04-10,-36217
2022-04-17,-53581
2022-04-24,-16902
2022-05-01,-17228
2022-05-08,32007
2022-05-15,46314
2022-05-22,-38659
2022-05-29,-71287
2022-06-05,-40465
2022-06-12,-15492
2022-06-19,6571
2022-06-26,13265
2022-07-03,-204308
2022-07-10,243697
2022-07-17,27908
2022-07-24,31424
2022-07-31,16750
2022-08-07,-60445
2022-08-14,-58937
2022-08-21,-61219
2022-08-28,-35994
2022-09-04,-23199
2022-09-11,-16593
2022-09-18,-12119
2022-09-25,-7872
2022-10-02,-5823
2022-10-09,1096
2022-10-16,-7347
2022-10-23,-1707
2022-10-30,743
2022-11-06,5400
2022-11-13,16547
2022-11-20,21263
2022-11-27,9834
2022-12-04,14490
2022-12-11,10005
2022-12-18,4114
2022-12-25,-3694
2023-01-01,-16804
2023-01-08,-4529
2023-01-15,-40986
2023-01-22,-15094
2023-01-29,-8868
2023-02-05,-3119
2023-02-12,-1855
2023-02-19,860
2023-02-26,-113
2023-03-05,448
2023-03-12,1518
2023-03-19,1901
2023-03-26,1333
2023-04-02,2507
2023-04-09,2129
2023-04-16,-595
2023-04-23,2911
2023-04-30,-535
2023-05-07,232
2023-05-14,2196
2023-05-21,5861
2023-05-28,3292
2023-06-04,-1961
2023-06-11,-5926
2023-06-18,-10356
2023-06-25,-5947
2023-07-02,-3271
2023-07-09,-3040
2023-07-16,-2685
2023-07-23,-1331
2023-07-30,-970
2023-08-06,-115
2023-08-13,-294
2023-08-20,78
2023-08-27,-18
2023-09-03,315
2023-09-10,-458
2023-09-17,-16
2023-09-24,172
2023-10-01,204
2023-10-08,168
2023-10-15,-870
2023-10-22,667
2023-10-29,989
2023-11-05,1340
2023-11-12,-7687
2023-11-19,21092
2023-11-26,-10810
2023-12-03,-662
2023-12-10,269
2023-12-17,464
2023-12-24,444
2023-12-31,-10797
2024-01-07,0
