date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,1
2020-02-02,3
2020-02-09,3
2020-02-16,0
2020-02-23,2
2020-03-01,6
2020-03-08,36
2020-03-15,125
2020-03-22,795
2020-03-29,3704
2020-04-05,7844
2020-04-12,9614
2020-04-19,9739
2020-04-26,12005
2020-05-03,11173
2020-05-10,11372
2020-05-17,8180
2020-05-24,7867
2020-05-31,6938
2020-06-07,4917
2020-06-14,3608
2020-06-21,2686
2020-06-28,2165
2020-07-05,2296
2020-07-12,2035
2020-07-19,2544
2020-07-26,3535
2020-08-02,3105
2020-08-09,2672
2020-08-16,2682
2020-08-23,2720
2020-08-30,2938
2020-09-06,3814
2020-09-13,4502
2020-09-20,6285
2020-09-27,8545
2020-10-04,12203
2020-10-11,15458
2020-10-18,15989
2020-10-25,17626
2020-11-01,20267
2020-11-08,23810
2020-11-15,31509
2020-11-22,33401
2020-11-29,38345
2020-12-06,43504
2020-12-13,46271
2020-12-20,46504
2020-12-27,43898
2021-01-03,49698
2021-01-10,55410
2021-01-17,51355
2021-01-24,41703
2021-01-31,33386
2021-02-07,26963
2021-02-14,22550
2021-02-21,20280
2021-02-28,20961
2021-03-07,20207
2021-03-14,21462
2021-03-21,23846
2021-03-28,29593
2021-04-04,38181
2021-04-11,50441
2021-04-18,60788
2021-04-25,58515
2021-05-02,54838
2021-05-09,53748
2021-05-16,45246
2021-05-23,33709
2021-05-30,22152
2021-06-06,15229
2021-06-13,10215
2021-06-20,7541
2021-06-27,5043
2021-07-04,4015
2021-07-11,3648
2021-07-18,2677
2021-07-25,3070
2021-08-01,4772
2021-08-08,7218
2021-08-15,12150
2021-08-22,16015
2021-08-29,20570
2021-09-05,24776
2021-09-12,26881
2021-09-19,31093
2021-09-26,29621
2021-10-03,30335
2021-10-10,26222
2021-10-17,21482
2021-10-24,19068
2021-10-31,16214
2021-11-07,15555
2021-11-14,17666
2021-11-21,17085
2021-11-28,19737
2021-12-05,20188
2021-12-12,25396
2021-12-19,39945
2021-12-26,94023
2022-01-02,226586
2022-01-09,293833
2022-01-16,238269
2022-01-23,171610
2022-01-30,124003
2022-02-06,94313
2022-02-13,70502
2022-02-20,53473
2022-02-27,42675
2022-03-06,40513
2022-03-13,38996
2022-03-20,37339
2022-03-27,42171
2022-04-03,56397
2022-04-10,68656
2022-04-17,66946
2022-04-24,63247
2022-05-01,54519
2022-05-08,41069
2022-05-15,32418
2022-05-22,25055
2022-05-29,18400
2022-06-05,17026
2022-06-12,12670
2022-06-19,23312
2022-06-26,15463
2022-07-03,17752
2022-07-10,22662
2022-07-17,27557
2022-07-24,32435
2022-07-31,33319
2022-08-07,28849
2022-08-14,25692
2022-08-21,23906
2022-08-28,23082
2022-09-04,21086
2022-09-11,18478
2022-09-18,16726
2022-09-25,17558
2022-10-02,18643
2022-10-09,19634
2022-10-16,20412
2022-10-23,21454
2022-10-30,21359
2022-11-06,20964
2022-11-13,18396
2022-11-20,15289
2022-11-27,14582
2022-12-04,15134
2022-12-11,16209
2022-12-18,16625
2022-12-25,17398
2023-01-01,16395
2023-01-08,16691
2023-01-15,16796
2023-01-22,13674
2023-01-29,11455
2023-02-05,10337
2023-02-12,10333
2023-02-19,10322
2023-02-26,9670
2023-03-05,9161
2023-03-12,8947
2023-03-19,8585
2023-03-26,8346
2023-04-02,7850
2023-04-09,7085
2023-04-16,6293
2023-04-23,6605
2023-04-30,5770
2023-05-07,5230
2023-05-14,4633
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,1077
2023-08-20,1603
2023-08-27,2092
2023-09-03,2315
2023-09-10,2673
2023-09-17,3236
2023-09-24,4001
2023-10-01,4752
2023-10-08,4662
2023-10-15,4263
2023-10-22,4862
2023-10-29,4937
2023-11-05,4958
2023-11-12,5076
2023-11-19,5948
2023-11-26,6155
2023-12-03,5632
2023-12-10,5513
2023-12-17,5481
2023-12-24,4846
2023-12-31,4130
2024-01-07,506
