date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,3
2020-03-08,20
2020-03-15,804
2020-03-22,499
2020-03-29,875
2020-04-05,1876
2020-04-12,1919
2020-04-19,1246
2020-04-26,1203
2020-05-03,962
2020-05-10,912
2020-05-17,539
2020-05-24,431
2020-05-31,344
2020-06-07,291
2020-06-14,215
2020-06-21,297
2020-06-28,264
2020-07-05,147
2020-07-12,129
2020-07-19,226
2020-07-26,272
2020-08-02,384
2020-08-09,708
2020-08-16,933
2020-08-23,718
2020-08-30,562
2020-09-06,957
2020-09-13,1821
2020-09-20,2879
2020-09-27,3777
2020-10-04,3089
2020-10-11,2780
2020-10-18,2859
2020-10-25,4470
2020-11-01,6940
2020-11-08,7879
2020-11-15,6848
2020-11-22,8557
2020-11-29,8719
2020-12-06,10504
2020-12-13,18258
2020-12-20,24490
2020-12-27,19561
2021-01-03,16374
2021-01-10,12699
2021-01-17,7959
2021-01-24,5718
2021-01-31,4178
2021-02-07,3091
2021-02-14,2881
2021-02-21,3014
2021-02-28,3651
2021-03-07,3594
2021-03-14,5592
2021-03-21,4930
2021-03-28,4701
2021-04-04,5669
2021-04-11,4383
2021-04-18,4630
2021-04-25,5279
2021-05-02,5035
2021-05-09,6137
2021-05-16,7357
2021-05-23,7120
2021-05-30,6775
2021-06-06,6202
2021-06-13,3923
2021-06-20,1904
2021-06-27,1306
2021-07-04,2156
2021-07-11,3689
2021-07-18,6845
2021-07-25,5417
2021-08-01,5931
2021-08-08,6158
2021-08-15,6962
2021-08-22,6819
2021-08-29,6605
2021-09-05,4996
2021-09-12,3592
2021-09-19,2454
2021-09-26,2291
2021-10-03,2979
2021-10-10,3693
2021-10-17,4704
2021-10-24,7005
2021-10-31,11186
2021-11-07,13894
2021-11-14,19954
2021-11-21,26577
2021-11-28,27961
2021-12-05,31448
2021-12-12,42315
2021-12-19,67015
2021-12-26,79648
2022-01-02,125719
2022-01-09,126955
2022-01-16,154800
2022-01-23,250778
2022-01-30,321474
2022-02-06,289241
2022-02-13,322546
2022-02-20,263285
2022-02-27,179445
2022-03-06,121430
2022-03-13,90711
2022-03-20,55976
2022-03-27,39281
2022-04-03,25421
2022-04-10,18807
2022-04-17,13583
2022-04-24,11999
2022-05-01,7641
2022-05-08,6084
2022-05-15,4944
2022-05-22,4289
2022-05-29,3406
2022-06-05,3796
2022-06-12,4975
2022-06-19,7527
2022-06-26,10389
2022-07-03,12802
2022-07-10,15246
2022-07-17,15481
2022-07-24,14446
2022-07-31,10945
2022-08-07,10639
2022-08-14,11809
2022-08-21,9713
2022-08-28,6891
2022-09-04,5151
2022-09-11,5462
2022-09-18,5239
2022-09-25,6252
2022-10-02,8354
2022-10-09,9047
2022-10-16,9203
2022-10-23,8060
2022-10-30,6569
2022-11-06,4564
2022-11-13,4250
2022-11-20,3856
2022-11-27,4332
2022-12-04,6538
2022-12-11,8942
2022-12-18,6909
2022-12-25,9086
2023-01-01,7754
2023-01-08,4858
2023-01-15,2454
2023-01-22,1357
2023-01-29,1064
2023-02-05,1072
2023-02-12,961
2023-02-19,880
2023-02-26,823
2023-03-05,755
2023-03-12,845
2023-03-19,1248
2023-03-26,1584
2023-04-02,1309
2023-04-09,815
2023-04-16,833
2023-04-23,751
2023-04-30,586
2023-05-07,524
2023-05-14,602
2023-05-21,367
2023-05-28,349
2023-06-04,193
2023-06-11,172
2023-06-18,162
2023-06-25,26
2023-07-02,79
2023-07-09,59
2023-07-16,86
2023-07-23,91
2023-07-30,59
2023-08-06,105
2023-08-13,141
2023-08-20,276
2023-08-27,284
2023-09-03,369
2023-09-10,429
2023-09-17,381
2023-09-24,144
2023-10-01,319
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,941
2023-11-12,1079
2023-11-19,1209
2023-11-26,1654
2023-12-03,2038
2023-12-10,2467
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
