date,new_cases
2020-01-05,0
2020-01-12,-1
2020-01-19,-1
2020-01-26,0
2020-02-02,8
2020-02-09,8
2020-02-16,4
2020-02-23,5
2020-03-01,138
2020-03-08,904
2020-03-15,6440
2020-03-22,22406
2020-03-29,33980
2020-04-05,36066
2020-04-12,27144
2020-04-19,17344
2020-04-26,12350
2020-05-03,7441
2020-05-10,6242
2020-05-17,4774
2020-05-24,3603
2020-05-31,3205
2020-06-07,2353
2020-06-14,2347
2020-06-21,4191
2020-06-28,3166
2020-07-05,2690
2020-07-12,2428
2020-07-19,3043
2020-07-26,3935
2020-08-02,4842
2020-08-09,6066
2020-08-16,7970
2020-08-23,9579
2020-08-30,8843
2020-09-06,8608
2020-09-13,9784
2020-09-20,12284
2020-09-27,13063
2020-10-04,15945
2020-10-11,26144
2020-10-18,42030
2020-10-25,74791
2020-11-01,111008
2020-11-08,125691
2020-11-15,127861
2020-11-22,128399
2020-11-29,123121
2020-12-06,128257
2020-12-13,156212
2020-12-20,174588
2020-12-27,138827
2021-01-03,122952
2021-01-10,145504
2021-01-17,118928
2021-01-24,95552
2021-01-31,78171
2021-02-07,64595
2021-02-14,50826
2021-02-21,52328
2021-02-28,56355
2021-03-07,58424
2021-03-14,71390
2021-03-21,92609
2021-03-28,116308
2021-04-04,110006
2021-04-11,118187
2021-04-18,142020
2021-04-25,144677
2021-05-02,124683
2021-05-09,100846
2021-05-16,70745
2021-05-23,52669
2021-05-30,29866
2021-06-06,20679
2021-06-13,14061
2021-06-20,7284
2021-06-27,4858
2021-07-04,4387
2021-07-11,5596
2021-07-18,9112
2021-07-25,12645
2021-08-01,15521
2021-08-08,20422
2021-08-15,32076
2021-08-22,49651
2021-08-29,66370
2021-09-05,74736
2021-09-12,71655
2021-09-19,61470
2021-09-26,53622
2021-10-03,56480
2021-10-10,58024
2021-10-17,65358
2021-10-24,97722
2021-10-31,137010
2021-11-07,177867
2021-11-14,271173
2021-11-21,351653
2021-11-28,403347
2021-12-05,388053
2021-12-12,338007
2021-12-19,273502
2021-12-26,193831
2022-01-02,208695
2022-01-09,337881
2022-01-16,486123
2022-01-23,796814
2022-01-30,1114351
2022-02-06,1292739
2022-02-13,1309844
2022-02-20,1193270
2022-02-27,1093092
2022-03-06,1134008
2022-03-13,1413845
2022-03-20,1582503
2022-03-27,1588890
2022-04-03,1295124
2022-04-10,984599
2022-04-17,778947
2022-04-24,731498
2022-05-01,596916
2022-05-08,471439
2022-05-15,408744
2022-05-22,292504
2022-05-29,187158
2022-06-05,245140
2022-06-12,331433
2022-06-19,413790
2022-06-26,574224
2022-07-03,622775
2022-07-10,629348
2022-07-17,675129
2022-07-24,627178
2022-07-31,495728
2022-08-07,362935
2022-08-14,298291
2022-08-21,263328
2022-08-28,227978
2022-09-04,201756
2022-09-11,204083
2022-09-18,228912
2022-09-25,286534
2022-10-02,458851
2022-10-09,594072
2022-10-16,644985
2022-10-23,544615
2022-10-30,373902
2022-11-06,243577
2022-11-13,202014
2022-11-20,169666
2022-11-27,170588
2022-12-04,184824
2022-12-11,199504
2022-12-18,222952
2022-12-25,230745
2023-01-01,151566
2023-01-08,130315
2023-01-15,89088
2023-01-22,62866
2023-01-29,73297
2023-02-05,84242
2023-02-12,86594
2023-02-19,97849
2023-02-26,113433
2023-03-05,86320
2023-03-12,43757
2023-03-19,40306
2023-03-26,32638
2023-04-02,22651
2023-04-09,14678
2023-04-16,13044
2023-04-23,11467
2023-04-30,9192
2023-05-07,7359
2023-05-14,6707
2023-05-21,4358
2023-05-28,4271
2023-06-04,2766
2023-06-11,2391
2023-06-18,2013
2023-06-25,1527
2023-07-02,1098
2023-07-09,-1
2023-07-16,-1
2023-07-23,-1
2023-07-30,-1
2023-08-06,-1
2023-08-13,-1
2023-08-20,-1
2023-08-27,-1
2023-09-03,-1
2023-09-10,-1
2023-09-17,-1
2023-09-24,-1
2023-10-01,-1
2023-10-08,-1
2023-10-15,-1
2023-10-22,-1
2023-10-29,-1
2023-11-05,-1
2023-11-12,-1
2023-11-19,-1
2023-11-26,-1
2023-12-03,-1
2023-12-10,-1
2023-12-17,-1
2023-12-24,-1
2023-12-31,-1
2024-01-07,-1
