date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,2
2020-02-09,5
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,32
2020-03-15,68
2020-03-22,253
2020-03-29,619
2020-04-05,2395
2020-04-12,4982
2020-04-19,7356
2020-04-26,10784
2020-05-03,13484
2020-05-10,22959
2020-05-17,27988
2020-05-24,40941
2020-05-31,50275
2020-06-07,64485
2020-06-14,74294
2020-06-21,89539
2020-06-28,118398
2020-07-05,144306
2020-07-12,176388
2020-07-19,228065
2020-07-26,307904
2020-08-02,365201
2020-08-09,402287
2020-08-16,436672
2020-08-23,455258
2020-08-30,497793
2020-09-06,571078
2020-09-13,640545
2020-09-20,646263
2020-09-27,591913
2020-10-04,556841
2020-10-11,504433
2020-10-18,440745
2020-10-25,370260
2020-11-01,319271
2020-11-08,323672
2020-11-15,306825
2020-11-22,281227
2020-11-29,297113
2020-12-06,251303
2020-12-13,212807
2020-12-20,174194
2020-12-27,156627
2021-01-03,136115
2021-01-10,126319
2021-01-17,107701
2021-01-24,96548
2021-01-31,91650
2021-02-07,80180
2021-02-14,78577
2021-02-21,86711
2021-02-28,105080
2021-03-07,114068
2021-03-14,148249
2021-03-21,240082
2021-03-28,372494
2021-04-04,513885
2021-04-11,873296
2021-04-18,1429304
2021-04-25,2172063
2021-05-02,2597285
2021-05-09,2738957
2021-05-16,2387663
2021-05-23,1846055
2021-05-30,1364668
2021-06-06,914539
2021-06-13,630650
2021-06-20,441976
2021-06-27,351218
2021-07-04,312250
2021-07-11,291789
2021-07-18,268843
2021-07-25,265836
2021-08-01,283923
2021-08-08,278631
2021-08-15,258121
2021-08-22,231658
2021-08-29,270796
2021-09-05,293643
2021-09-12,248248
2021-09-19,211242
2021-09-26,204582
2021-10-03,161158
2021-10-10,139572
2021-10-17,114244
2021-10-24,107749
2021-10-31,97832
2021-11-07,82236
2021-11-14,81771
2021-11-21,73106
2021-11-28,62110
2021-12-05,60732
2021-12-12,57255
2021-12-19,49765
2021-12-26,46527
2022-01-02,102330
2022-01-09,638872
2022-01-16,1594160
2022-01-23,2115100
2022-01-30,1855258
2022-02-06,1095616
2022-02-13,443283
2022-02-20,191052
2022-02-27,93644
2022-03-06,46836
2022-03-13,28038
2022-03-20,16850
2022-03-27,11612
2022-04-03,8678
2022-04-10,7140
2022-04-17,6826
2022-04-24,15448
2022-05-01,21643
2022-05-08,23006
2022-05-15,19405
2022-05-22,14772
2022-05-29,16672
2022-06-05,23774
2022-06-12,45200
2022-06-19,74675
2022-06-26,93281
2022-07-03,112456
2022-07-10,120222
2022-07-17,127948
2022-07-24,138156
2022-07-31,131056
2022-08-07,125921
2022-08-14,107732
2022-08-21,85965
2022-08-28,68703
2022-09-04,48403
2022-09-11,38824
2022-09-18,38829
2022-09-25,33926
2022-10-02,26373
2022-10-09,17526
2022-10-16,16815
2022-10-23,13914
2022-10-30,9524
2022-11-06,8313
2022-11-13,5798
2022-11-20,2638
2022-11-27,2547
2022-12-04,1830
2022-12-11,1430
2022-12-18,1130
2022-12-25,1154
2023-01-01,1543
2023-01-08,1275
2023-01-15,1116
2023-01-22,881
2023-01-29,718
2023-02-05,724
2023-02-12,755
2023-02-19,799
2023-02-26,1100
2023-03-05,1803
2023-03-12,2672
2023-03-19,4928
2023-03-26,8727
2023-04-02,18458
2023-04-09,34011
2023-04-16,61499
2023-04-23,73874
2023-04-30,53400
2023-05-07,24241
2023-05-14,11044
2023-05-21,5787
2023-05-28,3283
2023-06-04,1838
2023-06-11,1206
2023-06-18,692
2023-06-25,472
2023-07-02,329
2023-07-09,294
2023-07-16,303
2023-07-23,386
2023-07-30,324
2023-08-06,392
2023-08-13,294
2023-08-20,325
2023-08-27,364
2023-09-03,363
2023-09-10,384
2023-09-17,452
2023-09-24,363
2023-10-01,313
2023-10-08,490
2023-10-15,260
2023-10-22,1464
2023-10-29,193
2023-11-05,139
2023-11-12,72
2023-11-19,119
2023-11-26,189
2023-12-03,415
2023-12-10,876
2023-12-17,1761
2023-12-24,3804
2023-12-31,4552
2024-01-01,736
