date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,18
2020-03-15,72
2020-03-22,593
2020-03-29,1438
2020-04-05,2152
2020-04-12,3816
2020-04-19,5891
2020-04-26,4204
2020-05-03,2649
2020-05-10,1708
2020-05-17,1415
2020-05-24,550
2020-05-31,370
2020-06-07,287
2020-06-14,87
2020-06-21,118
2020-06-28,46
2020-07-05,84
2020-07-12,91
2020-07-19,141
2020-07-26,115
2020-08-02,220
2020-08-09,405
2020-08-16,525
2020-08-23,760
2020-08-30,824
2020-09-06,724
2020-09-13,1268
2020-09-20,1700
2020-09-27,2044
2020-10-04,2748
2020-10-11,3640
2020-10-18,6724
2020-10-25,8912
2020-11-01,5798
2020-11-08,3479
2020-11-15,2561
2020-11-22,2703
2020-11-29,1897
2020-12-06,1792
2020-12-13,2016
2020-12-20,2747
2020-12-27,5844
2021-01-03,9434
2021-01-10,42352
2021-01-17,30664
2021-01-24,17731
2021-01-31,9613
2021-02-07,7871
2021-02-14,5957
2021-02-21,5680
2021-02-28,4851
2021-03-07,3918
2021-03-14,3651
2021-03-21,3486
2021-03-28,4021
2021-04-04,3860
2021-04-11,3005
2021-04-18,2627
2021-04-25,2924
2021-05-02,3127
2021-05-09,3034
2021-05-16,2966
2021-05-23,3109
2021-05-30,2871
2021-06-06,2919
2021-06-13,2289
2021-06-20,2193
2021-06-27,2226
2021-07-04,2819
2021-07-11,3439
2021-07-18,5219
2021-07-25,8571
2021-08-01,9024
2021-08-08,9251
2021-08-15,12115
2021-08-22,12389
2021-08-29,12766
2021-09-05,11324
2021-09-12,9911
2021-09-19,8840
2021-09-26,9196
2021-10-03,9106
2021-10-10,8844
2021-10-17,11721
2021-10-24,14171
2021-10-31,14940
2021-11-07,21608
2021-11-14,27728
2021-11-21,28823
2021-11-28,32704
2021-12-05,31944
2021-12-12,31480
2021-12-19,29191
2021-12-26,47414
2022-01-02,97002
2022-01-09,141823
2022-01-16,147583
2022-01-23,56367
2022-01-30,35097
2022-02-06,36269
2022-02-13,36892
2022-02-20,32010
2022-02-27,27088
2022-03-06,22888
2022-03-13,26726
2022-03-20,34473
2022-03-27,46646
2022-04-03,42205
2022-04-10,22014
2022-04-17,13440
2022-04-24,8932
2022-05-01,7576
2022-05-08,5251
2022-05-15,13088
2022-05-22,8038
2022-05-29,4138
2022-06-05,4467
2022-06-12,6053
2022-06-19,8220
2022-06-26,11608
2022-07-03,12852
2022-07-10,14090
2022-07-17,14291
2022-07-24,7832
2022-07-31,4541
2022-08-07,2954
2022-08-14,3193
2022-08-21,2263
2022-08-28,1641
2022-09-04,1902
2022-09-11,1780
2022-09-18,1555
2022-09-25,1875
2022-10-02,1921
2022-10-09,2261
2022-10-16,2210
2022-10-23,2036
2022-10-30,1682
2022-11-06,1905
2022-11-13,1805
2022-11-20,1565
2022-11-27,1551
2022-12-04,1745
2022-12-11,2103
2022-12-18,2699
2022-12-25,3525
2023-01-01,3004
2023-01-08,3660
2023-01-15,2245
2023-01-22,1123
2023-01-29,897
2023-02-05,754
2023-02-12,668
2023-02-19,791
2023-02-26,650
2023-03-05,585
2023-03-12,749
2023-03-19,922
2023-03-26,982
2023-04-02,1345
2023-04-09,707
2023-04-16,588
2023-04-23,612
2023-04-30,504
2023-05-07,477
2023-05-14,492
2023-05-21,423
2023-05-28,517
2023-06-04,435
2023-06-11,311
2023-06-18,281
2023-06-25,223
2023-07-02,130
2023-07-09,172
2023-07-16,212
2023-07-23,261
2023-07-30,365
2023-08-06,625
2023-08-13,691
2023-08-20,844
2023-08-27,931
2023-09-03,756
2023-09-10,801
2023-09-17,718
2023-09-24,583
2023-10-01,741
2023-10-08,706
2023-10-15,567
2023-10-22,609
2023-10-29,502
2023-11-05,413
2023-11-12,531
2023-11-19,484
2023-11-26,420
2023-12-03,441
2023-12-10,512
2023-12-17,711
2023-12-24,934
2023-12-31,599
2024-01-07,0
