date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,3
2020-02-09,0
2020-02-16,0
2020-02-23,76
2020-03-01,1049
2020-03-08,4755
2020-03-15,15274
2020-03-22,32421
2020-03-29,38894
2020-04-05,32160
2020-04-12,27639
2020-04-19,23654
2020-04-26,19426
2020-05-03,13977
2020-05-10,8940
2020-05-17,6492
2020-05-24,4567
2020-05-31,3337
2020-06-07,2137
2020-06-14,1850
2020-06-21,2023
2020-06-28,1861
2020-07-05,1283
2020-07-12,1408
2020-07-19,1389
2020-07-26,1648
2020-08-02,1968
2020-08-09,2271
2020-08-16,3335
2020-08-23,4698
2020-08-30,8717
2020-09-06,9484
2020-09-13,9960
2020-09-20,10272
2020-09-27,11535
2020-10-04,14647
2020-10-11,26743
2020-10-18,53042
2020-10-25,101973
2020-11-01,174921
2020-11-08,223060
2020-11-15,242062
2020-11-22,235979
2020-11-29,184001
2020-12-06,145459
2020-12-13,115784
2020-12-20,112308
2020-12-27,100700
2021-01-03,102019
2021-01-10,116665
2021-01-17,110867
2021-01-24,86452
2021-01-31,86598
2021-02-07,83315
2021-02-14,85721
2021-02-21,84977
2021-02-28,112029
2021-03-07,138937
2021-03-14,155076
2021-03-21,154493
2021-03-28,156059
2021-04-04,137857
2021-04-11,103830
2021-04-18,103366
2021-04-25,92074
2021-05-02,86100
2021-05-09,67304
2021-05-16,50453
2021-05-23,34816
2021-05-30,24865
2021-06-06,17098
2021-06-13,13329
2021-06-20,8613
2021-06-27,5194
2021-07-04,5222
2021-07-11,7374
2021-07-18,14447
2021-07-25,28341
2021-08-01,37355
2021-08-08,40656
2021-08-15,44324
2021-08-22,43683
2021-08-29,45601
2021-09-05,41834
2021-09-12,35623
2021-09-19,30526
2021-09-26,24940
2021-10-03,21852
2021-10-10,18971
2021-10-17,17426
2021-10-24,21998
2021-10-31,29978
2021-11-07,34785
2021-11-14,50271
2021-11-21,63485
2021-11-28,78910
2021-12-05,99181
2021-12-12,112233
2021-12-19,158547
2021-12-26,257579
2022-01-02,644604
2022-01-09,1014262
2022-01-16,1268153
2022-01-23,1231741
2022-01-30,1040184
2022-02-06,721418
2022-02-13,510537
2022-02-20,374443
2022-02-27,304907
2022-03-06,257543
2022-03-13,332905
2022-03-20,477051
2022-03-27,503932
2022-04-03,486695
2022-04-10,447322
2022-04-17,421707
2022-04-24,419374
2022-05-01,383991
2022-05-08,304573
2022-05-15,262374
2022-05-22,199116
2022-05-29,144478
2022-06-05,116710
2022-06-12,143614
2022-06-19,210840
2022-06-26,340012
2022-07-03,511037
2022-07-10,661984
2022-07-17,718925
2022-07-24,531327
2022-07-31,394583
2022-08-07,283998
2022-08-14,193305
2022-08-21,150922
2022-08-28,157864
2022-09-04,136211
2022-09-11,110644
2022-09-18,113218
2022-09-25,135877
2022-10-02,215534
2022-10-09,280947
2022-10-16,288452
2022-10-23,252777
2022-10-30,208501
2022-11-06,165989
2022-11-13,181181
2022-11-20,221013
2022-11-27,228458
2022-12-04,227792
2022-12-11,198433
2022-12-18,174187
2022-12-25,132427
2023-01-01,132328
2023-01-08,108312
2023-01-15,79745
2023-01-22,47190
2023-01-29,36722
2023-02-05,32751
2023-02-12,29286
2023-02-19,29146
2023-02-26,29177
2023-03-05,25133
2023-03-12,24149
2023-03-19,23041
2023-03-26,22665
2023-04-02,20999
2023-04-09,19907
2023-04-16,24746
2023-04-23,26659
2023-04-30,23050
2023-05-07,19894
2023-05-14,17110
2023-05-21,14163
2023-05-28,15136
2023-06-04,10983
2023-06-11,9501
2023-06-18,6930
2023-06-25,5292
2023-07-02,4430
2023-07-09,3536
2023-07-16,3405
2023-07-23,3572
2023-07-30,4381
2023-08-06,6352
2023-08-13,6071
2023-08-20,7691
2023-08-27,12948
2023-09-03,17113
2023-09-10,24730
2023-09-17,34727
2023-09-24,37524
2023-10-01,39802
2023-10-08,45648
2023-10-15,38171
2023-10-22,29933
2023-10-29,28440
2023-11-05,24644
2023-11-12,30896
2023-11-19,42086
2023-11-26,49292
2023-12-03,56008
2023-12-10,53136
2023-12-17,64908
2023-12-24,54598
2023-12-31,3287
2024-01-07,0
