date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,1
2020-01-26,1
2020-02-02,10
2020-02-09,-2
2020-02-16,17
2020-02-23,53
2020-03-01,27
2020-03-08,109
2020-03-15,109
2020-03-22,-59
2020-03-29,381
2020-04-05,931
2020-04-12,1899
2020-04-19,136
2020-04-26,-792
2020-05-03,-1164
2020-05-10,-749
2020-05-17,-370
2020-05-24,-273
2020-05-31,36
2020-06-07,-11
2020-06-14,-2
2020-06-21,147
2020-06-28,91
2020-07-05,606
2020-07-12,848
2020-07-19,1160
2020-07-26,1600
2020-08-02,2567
2020-08-09,2787
2020-08-16,-2163
2020-08-23,-898
2020-08-30,-1516
2020-09-06,-1362
2020-09-13,-356
2020-09-20,-360
2020-09-27,-406
2020-10-04,616
2020-10-11,-76
2020-10-18,171
2020-10-25,134
2020-11-01,734
2020-11-08,1328
2020-11-15,3651
2020-11-22,3911
2020-11-29,972
2020-12-06,971
2020-12-13,1744
2020-12-20,1404
2020-12-27,2839
2021-01-03,5103
2021-01-10,16370
2021-01-17,-1363
2021-01-24,-5023
2021-01-31,-11814
2021-02-07,-9233
2021-02-14,-4680
2021-02-21,-977
2021-02-28,-2639
2021-03-07,43
2021-03-14,695
2021-03-21,961
2021-03-28,2958
2021-04-04,4878
2021-04-11,4250
2021-04-18,6805
2021-04-25,5045
2021-05-02,3188
2021-05-09,1183
2021-05-16,5949
2021-05-23,-7442
2021-05-30,-10066
2021-06-06,-7709
2021-06-13,-5084
2021-06-20,-2774
2021-06-27,413
2021-07-04,609
2021-07-11,2803
2021-07-18,6941
2021-07-25,8086
2021-08-01,36533
2021-08-08,29969
2021-08-15,17840
2021-08-22,42557
2021-08-29,-1796
2021-09-05,-37003
2021-09-12,-48835
2021-09-19,-31007
2021-09-26,-19202
2021-10-03,-7593
2021-10-10,-4444
2021-10-17,-2180
2021-10-24,-1529
2021-10-31,3708
2021-11-07,-4590
2021-11-14,-70
2021-11-21,-258
2021-11-28,-339
2021-12-05,130
2021-12-12,79
2021-12-19,266
2021-12-26,681
2022-01-02,1194
2022-01-09,27777
2022-01-16,83439
2022-01-23,175579
2022-01-30,210171
2022-02-06,130966
2022-02-13,-19342
2022-02-20,-39054
2022-02-27,-102688
2022-03-06,-30954
2022-03-13,-60050
2022-03-20,-47169
2022-03-27,-58065
2022-04-03,50738
2022-04-10,13110
2022-04-17,-2789
2022-04-24,-48927
2022-05-01,-43840
2022-05-08,-44321
2022-05-15,75923
2022-05-22,-27896
2022-05-29,-52696
2022-06-05,-58761
2022-06-12,-28222
2022-06-19,-7947
2022-06-26,5652
2022-07-03,18933
2022-07-10,147174
2022-07-17,289351
2022-07-24,409957
2022-07-31,410031
2022-08-07,117869
2022-08-14,-101667
2022-08-21,81073
2022-08-28,-217602
2022-09-04,-93985
2022-09-11,-627606
2022-09-18,68738
2022-09-25,-70417
2022-10-02,-228544
2022-10-09,-98411
2022-10-16,9729
2022-10-23,15406
2022-10-30,48292
2022-11-06,119719
2022-11-13,102073
2022-11-20,89309
2022-11-27,105697
2022-12-04,51123
2022-12-11,99476
2022-12-18,197279
2022-12-25,103282
2023-01-01,-203802
2023-01-08,124366
2023-01-15,-45175
2023-01-22,-352795
2023-01-29,-233772
2023-02-05,-146140
2023-02-12,-69249
2023-02-19,-82283
2023-02-26,-45208
2023-03-05,-16944
2023-03-12,-13918
2023-03-19,-13156
2023-03-26,-4760
2023-04-02,302
2023-04-09,6591
2023-04-16,2858
2023-04-23,8663
2023-04-30,9302
2023-05-07,-9836
2023-05-14,-40397
2023-05-21,-24579
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
