date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4
2020-02-02,4
2020-02-09,8
2020-02-16,6
2020-02-23,0
2020-03-01,3
2020-03-08,68
2020-03-15,145
2020-03-22,945
2020-03-29,1137
2020-04-05,1163
2020-04-12,1047
2020-04-19,775
2020-04-26,437
2020-05-03,434
2020-05-10,413
2020-05-17,283
2020-05-24,313
2020-05-31,577
2020-06-07,541
2020-06-14,142
2020-06-21,111
2020-06-28,60
2020-07-05,42
2020-07-12,46
2020-07-19,60
2020-07-26,120
2020-08-02,101
2020-08-09,85
2020-08-16,105
2020-08-23,82
2020-08-30,60
2020-09-06,74
2020-09-13,477
2020-09-20,299
2020-09-27,602
2020-10-04,1319
2020-10-11,3008
2020-10-18,4531
2020-10-25,6115
2020-11-01,5806
2020-11-08,7809
2020-11-15,6852
2020-11-22,7470
2020-11-29,9497
2020-12-06,8183
2020-12-13,10887
2020-12-20,9723
2020-12-27,11931
2021-01-03,15177
2021-01-10,16915
2021-01-17,22442
2021-01-24,25367
2021-01-31,31158
2021-02-07,27493
2021-02-14,21817
2021-02-21,19300
2021-02-28,17183
2021-03-07,12708
2021-03-14,10303
2021-03-21,9277
2021-03-28,8904
2021-04-04,9015
2021-04-11,9897
2021-04-18,14198
2021-04-25,17888
2021-05-02,22070
2021-05-09,25665
2021-05-16,29433
2021-05-23,41981
2021-05-30,53442
2021-06-06,51282
2021-06-13,40693
2021-06-20,38900
2021-06-27,37640
2021-07-04,44604
2021-07-11,57644
2021-07-18,80265
2021-07-25,96877
2021-08-01,116984
2021-08-08,132118
2021-08-15,142359
2021-08-22,150194
2021-08-29,150996
2021-09-05,138746
2021-09-12,134863
2021-09-19,118132
2021-09-26,100405
2021-10-03,79330
2021-10-10,62029
2021-10-17,51093
2021-10-24,41029
2021-10-31,39926
2021-11-07,34667
2021-11-14,40000
2021-11-21,40292
2021-11-28,37215
2021-12-05,34956
2021-12-12,32867
2021-12-19,27316
2021-12-26,22224
2022-01-02,23175
2022-01-09,21865
2022-01-16,22128
2022-01-23,24598
2022-01-30,33039
2022-02-06,48236
2022-02-13,126015
2022-02-20,181445
2022-02-27,197956
2022-03-06,202971
2022-03-13,200964
2022-03-20,169553
2022-03-27,145743
2022-04-03,107600
2022-04-10,79351
2022-04-17,63207
2022-04-24,42048
2022-05-01,18434
2022-05-08,9382
2022-05-15,19223
2022-05-22,13208
2022-05-29,12414
2022-06-05,11255
2022-06-12,11309
2022-06-19,14314
2022-06-26,16052
2022-07-03,14691
2022-07-10,21355
2022-07-17,26315
2022-07-24,29906
2022-07-31,28339
2022-08-07,28554
2022-08-14,26678
2022-08-21,22786
2022-08-28,18715
2022-09-04,15549
2022-09-11,14072
2022-09-18,13627
2022-09-25,12963
2022-10-02,12291
2022-10-09,11018
2022-10-16,11957
2022-10-23,14525
2022-10-30,16750
2022-11-06,26783
2022-11-13,23045
2022-11-20,19083
2022-11-27,18606
2022-12-04,14558
2022-12-11,10937
2022-12-18,7249
2022-12-25,6290
2023-01-01,3371
2023-01-08,3231
2023-01-15,2525
2023-01-22,2088
2023-01-29,1350
2023-02-05,1913
2023-02-12,1542
2023-02-19,1495
2023-02-26,1367
2023-03-05,1438
2023-03-12,1566
2023-03-19,1848
2023-03-26,2228
2023-04-02,3069
2023-04-09,4574
2023-04-16,4268
2023-04-23,5698
2023-04-30,4817
2023-05-07,146
2023-05-14,7596
2023-05-21,12209
2023-05-28,6439
2023-06-04,5801
2023-06-11,4523
2023-06-18,760
2023-06-25,3433
2023-07-02,0
2023-07-09,2698
2023-07-16,1548
2023-07-23,1222
2023-07-30,1202
2023-08-06,958
2023-08-13,934
2023-08-20,695
2023-08-27,710
2023-09-03,1233
2023-09-10,680
2023-09-17,728
2023-09-24,691
2023-10-01,783
2023-10-08,933
2023-10-15,1052
2023-10-22,1132
2023-10-29,1339
2023-11-05,1692
2023-11-12,1801
2023-11-19,2305
2023-11-26,3626
2023-12-03,6796
2023-12-10,12757
2023-12-17,20696
2023-12-24,25912
2023-12-31,20598
2024-01-07,0
