date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2
2020-03-15,15
2020-03-22,79
2020-03-29,294
2020-04-05,529
2020-04-12,626
2020-04-19,1140
2020-04-26,1212
2020-05-03,832
2020-05-10,1181
2020-05-17,831
2020-05-24,665
2020-05-31,374
2020-06-07,371
2020-06-14,541
2020-06-21,1147
2020-06-28,2038
2020-07-05,1945
2020-07-12,1720
2020-07-19,1473
2020-07-26,2630
2020-08-02,5406
2020-08-09,6956
2020-08-16,9010
2020-08-23,9795
2020-08-30,9244
2020-09-06,10104
2020-09-13,14275
2020-09-20,15381
2020-09-27,15425
2020-10-04,15987
2020-10-11,18613
2020-10-18,21070
2020-10-25,23550
2020-11-01,24623
2020-11-08,33101
2020-11-15,36026
2020-11-22,32751
2020-11-29,28726
2020-12-06,27050
2020-12-13,20859
2020-12-20,17629
2020-12-27,15336
2021-01-03,11579
2021-01-10,9496
2021-01-17,7228
2021-01-24,6904
2021-01-31,4922
2021-02-07,4275
2021-02-14,3169
2021-02-21,2813
2021-02-28,2462
2021-03-07,2564
2021-03-14,2658
2021-03-21,2831
2021-03-28,2895
2021-04-04,3474
2021-04-11,3856
2021-04-18,3759
2021-04-25,3590
2021-05-02,2525
2021-05-09,2066
2021-05-16,1189
2021-05-23,1995
2021-05-30,2056
2021-06-06,2327
2021-06-13,2425
2021-06-20,2743
2021-06-27,2861
2021-07-04,4721
2021-07-11,7460
2021-07-18,14083
2021-07-25,19674
2021-08-01,48366
2021-08-08,63764
2021-08-15,64784
2021-08-22,54212
2021-08-29,43244
2021-09-05,31510
2021-09-12,21652
2021-09-19,15432
2021-09-26,10445
2021-10-03,6257
2021-10-10,3973
2021-10-17,3062
2021-10-24,2213
2021-10-31,1884
2021-11-07,1347
2021-11-14,850
2021-11-21,673
2021-11-28,818
2021-12-05,853
2021-12-12,879
2021-12-19,1248
2021-12-26,2959
2022-01-02,9833
2022-01-09,31701
2022-01-16,46104
2022-01-23,50753
2022-01-30,35162
2022-02-06,16901
2022-02-13,8490
2022-02-20,4138
2022-02-27,2081
2022-03-06,836
2022-03-13,454
2022-03-20,404
2022-03-27,479
2022-04-03,549
2022-04-10,490
2022-04-17,383
2022-04-24,325
2022-05-01,283
2022-05-08,253
2022-05-15,500
2022-05-22,824
2022-05-29,1202
2022-06-05,2188
2022-06-12,5184
2022-06-19,9628
2022-06-26,17729
2022-07-03,21124
2022-07-10,17262
2022-07-17,9663
2022-07-24,6810
2022-07-31,3439
2022-08-07,1742
2022-08-14,872
2022-08-21,570
2022-08-28,343
2022-09-04,245
2022-09-11,117
2022-09-18,114
2022-09-25,110
2022-10-02,89
2022-10-09,125
2022-10-16,115
2022-10-23,181
2022-10-30,190
2022-11-06,393
2022-11-13,596
2022-11-20,705
2022-11-27,1029
2022-12-04,1001
2022-12-11,823
2022-12-18,663
2022-12-25,462
2023-01-01,351
2023-01-08,273
2023-01-15,188
2023-01-22,119
2023-01-29,47
2023-02-05,54
2023-02-12,56
2023-02-19,39
2023-02-26,71
2023-03-05,44
2023-03-12,40
2023-03-19,59
2023-03-26,37
2023-04-02,57
2023-04-09,54
2023-04-16,156
2023-04-23,241
2023-04-30,333
2023-05-07,369
2023-05-14,348
2023-05-21,373
2023-05-28,180
2023-06-04,168
2023-06-11,102
2023-06-18,86
2023-06-25,47
2023-07-02,32
2023-07-09,23
2023-07-16,33
2023-07-23,21
2023-07-30,28
2023-08-06,20
2023-08-13,27
2023-08-20,74
2023-08-27,161
2023-09-03,309
2023-09-10,312
2023-09-17,254
2023-09-24,205
2023-10-01,177
2023-10-08,138
2023-10-15,132
2023-10-22,136
2023-10-29,124
2023-11-05,0
2023-11-12,196
2023-11-19,104
2023-11-26,104
2023-12-03,116
2023-12-10,94
2023-12-17,99
2023-12-24,109
2023-12-31,105
2024-01-07,130
