date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1
2020-02-09,20
2020-02-16,11
2020-02-23,3
2020-03-01,33
2020-03-08,311
2020-03-15,1901
2020-03-22,5455
2020-03-29,16046
2020-04-05,28818
2020-04-12,32630
2020-04-19,30969
2020-04-26,33506
2020-05-03,31851
2020-05-10,24027
2020-05-17,20019
2020-05-24,16906
2020-05-31,11713
2020-06-07,8884
2020-06-14,7052
2020-06-21,6892
2020-06-28,5270
2020-07-05,4275
2020-07-12,4283
2020-07-19,4340
2020-07-26,4969
2020-08-02,5524
2020-08-09,6418
2020-08-16,7797
2020-08-23,7728
2020-08-30,8854
2020-09-06,15523
2020-09-13,22634
2020-09-20,25850
2020-09-27,44393
2020-10-04,74110
2020-10-11,110514
2020-10-18,120078
2020-10-25,151561
2020-11-01,153892
2020-11-08,162260
2020-11-15,175280
2020-11-22,141113
2020-11-29,106260
2020-12-06,105190
2020-12-13,138488
2020-12-20,217712
2020-12-27,243069
2021-01-03,377718
2021-01-10,422675
2021-01-17,317881
2021-01-24,246142
2021-01-31,171875
2021-02-07,130901
2021-02-14,94014
2021-02-21,80167
2021-02-28,61484
2021-03-07,41508
2021-03-14,40316
2021-03-21,38162
2021-03-28,37987
2021-04-04,27123
2021-04-11,20330
2021-04-18,17336
2021-04-25,16722
2021-05-02,15041
2021-05-09,14468
2021-05-16,15509
2021-05-23,16918
2021-05-30,22380
2021-06-06,33779
2021-06-13,49979
2021-06-20,67059
2021-06-27,107478
2021-07-04,175476
2021-07-11,225580
2021-07-18,323274
2021-07-25,257101
2021-08-01,188020
2021-08-08,193901
2021-08-15,203157
2021-08-22,232682
2021-08-29,244811
2021-09-05,258216
2021-09-12,246171
2021-09-19,203289
2021-09-26,242060
2021-10-03,235286
2021-10-10,254728
2021-10-17,305103
2021-10-24,329421
2021-10-31,285143
2021-11-07,251477
2021-11-14,266098
2021-11-21,295358
2021-11-28,301042
2021-12-05,335799
2021-12-12,364101
2021-12-19,606364
2021-12-26,921736
2022-01-02,1292071
2022-01-09,1320332
2022-01-16,723565
2022-01-23,730232
2022-01-30,713559
2022-02-06,588540
2022-02-13,420192
2022-02-20,316060
2022-02-27,251631
2022-03-06,277241
2022-03-13,437488
2022-03-20,581248
2022-03-27,606372
2022-04-03,478671
2022-04-10,299046
2022-04-17,209920
2022-04-24,146688
2022-05-01,94269
2022-05-08,73460
2022-05-15,60338
2022-05-22,52075
2022-05-29,42463
2022-06-05,44731
2022-06-12,74352
2022-06-19,96164
2022-06-26,130271
2022-07-03,160214
2022-07-10,195623
2022-07-17,166429
2022-07-24,110346
2022-07-31,74614
2022-08-07,56953
2022-08-14,45624
2022-08-21,35449
2022-08-28,29390
2022-09-04,29213
2022-09-11,28943
2022-09-18,31812
2022-09-25,42707
2022-10-02,53755
2022-10-09,67496
2022-10-16,60442
2022-10-23,52930
2022-10-30,37668
2022-11-06,28331
2022-11-13,23756
2022-11-20,21872
2022-11-27,22911
2022-12-04,26105
2022-12-11,31048
2022-12-18,41009
2022-12-25,48639
2023-01-01,41644
2023-01-08,33390
2023-01-15,19533
2023-01-22,14136
2023-01-29,16501
2023-02-05,21190
2023-02-12,23225
2023-02-19,27956
2023-02-26,27843
2023-03-05,27238
2023-03-12,29418
2023-03-19,33341
2023-03-26,31649
2023-04-02,25172
2023-04-09,16894
2023-04-16,14917
2023-04-23,12823
2023-04-30,11492
2023-05-07,11103
2023-05-14,8978
2023-05-21,7493
2023-05-28,6759
2023-06-04,5261
2023-06-11,4895
2023-06-18,3620
2023-06-25,2804
2023-07-02,2194
2023-07-09,2455
2023-07-16,3114
2023-07-23,3618
2023-07-30,4677
2023-08-06,6313
2023-08-13,7777
2023-08-20,8546
2023-08-27,8988
2023-09-03,10471
2023-09-10,13933
2023-09-17,12273
2023-09-24,13562
2023-10-01,17422
2023-10-08,17083
2023-10-15,13260
2023-10-22,9271
2023-10-29,7325
2023-11-05,6599
2023-11-12,4879
2023-11-19,5217
2023-11-26,4721
2023-12-03,5350
2023-12-10,7497
2023-12-17,9347
2023-12-24,10291
2023-12-31,8671
2024-01-07,0
