date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,9
2020-03-15,38
2020-03-22,271
2020-03-29,317
2020-04-05,960
2020-04-12,4302
2020-04-19,7592
2020-04-26,8159
2020-05-03,18811
2020-05-10,21388
2020-05-17,22648
2020-05-24,27203
2020-05-31,36587
2020-06-07,39115
2020-06-14,33349
2020-06-21,27176
2020-06-28,24439
2020-07-05,23235
2020-07-12,24047
2020-07-19,25891
2020-07-26,30424
2020-08-02,38774
2020-08-09,49140
2020-08-16,52421
2020-08-23,59771
2020-08-30,53894
2020-09-06,46887
2020-09-13,39822
2020-09-20,39742
2020-09-27,38172
2020-10-04,26980
2020-10-11,21791
2020-10-18,19062
2020-10-25,20699
2020-11-01,17064
2020-11-08,17323
2020-11-15,15147
2020-11-22,13437
2020-11-29,12237
2020-12-06,12536
2020-12-13,10083
2020-12-20,12817
2020-12-27,11786
2021-01-03,11653
2021-01-10,12272
2021-01-17,26552
2021-01-24,32073
2021-01-31,37779
2021-02-07,47170
2021-02-14,47703
2021-02-21,48775
2021-02-28,46840
2021-03-07,41931
2021-03-14,44316
2021-03-21,49035
2021-03-28,60739
2021-04-04,55961
2021-04-11,60174
2021-04-18,60532
2021-04-25,56604
2021-05-02,53790
2021-05-09,40020
2021-05-16,39584
2021-05-23,36517
2021-05-30,31989
2021-06-06,28611
2021-06-13,21890
2021-06-20,25123
2021-06-27,20083
2021-07-04,17082
2021-07-11,13842
2021-07-18,15989
2021-07-25,10964
2021-08-01,8155
2021-08-08,13263
2021-08-15,8780
2021-08-22,8725
2021-08-29,7223
2021-09-05,5807
2021-09-12,6214
2021-09-19,6227
2021-09-26,5841
2021-10-03,5909
2021-10-10,5742
2021-10-17,5326
2021-10-24,5781
2021-10-31,5744
2021-11-07,5610
2021-11-14,7028
2021-11-21,8640
2021-11-28,10021
2021-12-05,11471
2021-12-12,8381
2021-12-19,10856
2021-12-26,11002
2022-01-02,23946
2022-01-09,45719
2022-01-16,170239
2022-01-23,326730
2022-01-30,321213
2022-02-06,170558
2022-02-13,93604
2022-02-20,56858
2022-02-27,26890
2022-03-06,15862
2022-03-13,10183
2022-03-20,5421
2022-03-27,4230
2022-04-03,3268
2022-04-10,3185
2022-04-17,3878
2022-04-24,4674
2022-05-01,5215
2022-05-08,4468
2022-05-15,2490
2022-05-22,3360
2022-05-29,3488
2022-06-05,5039
2022-06-12,5294
2022-06-19,7680
2022-06-26,14746
2022-07-03,18673
2022-07-10,32889
2022-07-17,67194
2022-07-24,86925
2022-07-31,78692
2022-08-07,55999
2022-08-14,62336
2022-08-21,47526
2022-08-28,33295
2022-09-04,16393
2022-09-11,12390
2022-09-18,7702
2022-09-25,8992
2022-10-02,4287
2022-10-09,4041
2022-10-16,1664
2022-10-23,1898
2022-10-30,2317
2022-11-06,5615
2022-11-13,9800
2022-11-20,14440
2022-11-27,32877
2022-12-04,61929
2022-12-11,71516
2022-12-18,55330
2022-12-25,32935
2023-01-01,15458
2023-01-08,12095
2023-01-15,7490
2023-01-22,4134
2023-01-29,2873
2023-02-05,1482
2023-02-12,1133
2023-02-19,1088
2023-02-26,751
2023-03-05,1383
2023-03-12,1291
2023-03-19,1191
2023-03-26,1649
2023-04-02,2095
2023-04-09,0
2023-04-16,4005
2023-04-23,2459
2023-04-30,1775
2023-05-07,2092
2023-05-14,1998
2023-05-21,0
2023-05-28,1063
2023-06-04,1122
2023-06-11,1288
2023-06-18,1541
2023-06-25,1046
2023-07-02,956
2023-07-09,871
2023-07-16,763
2023-07-23,422
2023-07-30,325
2023-08-06,375
2023-08-13,522
2023-08-20,543
2023-08-27,528
2023-09-03,798
2023-09-10,796
2023-09-17,743
2023-09-24,574
2023-10-01,482
2023-10-08,763
2023-10-15,509
2023-10-22,440
2023-10-29,682
2023-11-05,954
2023-11-12,1197
2023-11-19,1437
2023-11-26,1488
2023-12-03,2094
2023-12-10,2534
2023-12-17,3289
2023-12-24,1333
2023-12-31,35
2024-01-07,0
