date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,22
2020-03-15,109
2020-03-22,405
2020-03-29,746
2020-04-05,791
2020-04-12,917
2020-04-19,1076
2020-04-26,1398
2020-05-03,1289
2020-05-10,1897
2020-05-17,2910
2020-05-24,5061
2020-05-31,5785
2020-06-07,7297
2020-06-14,10685
2020-06-21,14050
2020-06-28,19007
2020-07-05,20195
2020-07-12,24971
2020-07-19,31572
2020-07-26,39247
2020-08-02,41965
2020-08-09,51641
2020-08-16,48677
2020-08-23,51183
2020-08-30,68979
2020-09-06,72320
2020-09-13,78158
2020-09-20,75330
2020-09-27,81712
2020-10-04,87054
2020-10-11,96217
2020-10-18,95982
2020-10-25,97588
2020-11-01,81504
2020-11-08,70725
2020-11-15,67129
2020-11-22,57887
2020-11-29,48034
2020-12-06,42762
2020-12-13,35314
2020-12-20,45454
2020-12-27,44863
2021-01-03,60464
2021-01-10,84733
2021-01-17,77946
2021-01-24,79316
2021-01-31,61185
2021-02-07,51269
2021-02-14,50744
2021-02-21,42687
2021-02-28,44701
2021-03-07,43723
2021-03-14,50279
2021-03-21,51631
2021-03-28,71481
2021-04-04,93977
2021-04-11,153369
2021-04-18,164523
2021-04-25,165754
2021-05-02,141493
2021-05-09,144708
2021-05-16,165989
2021-05-23,234660
2021-05-30,208332
2021-06-06,195205
2021-06-13,162769
2021-06-20,137636
2021-06-27,133147
2021-07-04,125444
2021-07-11,108881
2021-07-18,105110
2021-07-25,88348
2021-08-01,87225
2021-08-08,80437
2021-08-15,62306
2021-08-22,47254
2021-08-29,38265
2021-09-05,28531
2021-09-12,19860
2021-09-19,14221
2021-09-26,10997
2021-10-03,9250
2021-10-10,6633
2021-10-17,7214
2021-10-24,8597
2021-10-31,9024
2021-11-07,8642
2021-11-14,9415
2021-11-21,10247
2021-11-28,11855
2021-12-05,15763
2021-12-12,20177
2021-12-19,37801
2021-12-26,86790
2022-01-02,262012
2022-01-09,647721
2022-01-16,770687
2022-01-23,727782
2022-01-30,432304
2022-02-06,226829
2022-02-13,124665
2022-02-20,83236
2022-02-27,64211
2022-03-06,36613
2022-03-13,31940
2022-03-20,34029
2022-03-27,15927
2022-04-03,12994
2022-04-10,9837
2022-04-17,6695
2022-04-24,24832
2022-05-01,11443
2022-05-08,17646
2022-05-15,33989
2022-05-22,43487
2022-05-29,51778
2022-06-05,46045
2022-06-12,36835
2022-06-19,28039
2022-06-26,25680
2022-07-03,27154
2022-07-10,31845
2022-07-17,39656
2022-07-24,41735
2022-07-31,52745
2022-08-07,42227
2022-08-14,31198
2022-08-21,24659
2022-08-28,19834
2022-09-04,11636
2022-09-11,7902
2022-09-18,6175
2022-09-25,4482
2022-10-02,2935
2022-10-09,2239
2022-10-16,1870
2022-10-23,2082
2022-10-30,1329
2022-11-06,1357
2022-11-13,1486
2022-11-20,2206
2022-11-27,3323
2022-12-04,12609
2022-12-11,27119
2022-12-18,62261
2022-12-25,61903
2023-01-01,72558
2023-01-08,40982
2023-01-15,19416
2023-01-22,8614
2023-01-29,4426
2023-02-05,3194
2023-02-12,1807
2023-02-19,1172
2023-02-26,817
2023-03-05,832
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,421
2023-06-04,448
2023-06-11,528
2023-06-18,502
2023-06-25,580
2023-07-02,705
2023-07-09,788
2023-07-16,593
2023-07-23,589
2023-07-30,758
2023-08-06,942
2023-08-13,1119
2023-08-20,1680
2023-08-27,2167
2023-09-03,3089
2023-09-10,2680
2023-09-17,2194
2023-09-24,1870
2023-10-01,1304
2023-10-08,1229
2023-10-15,855
2023-10-22,846
2023-10-29,655
2023-11-05,445
2023-11-12,447
2023-11-19,485
2023-11-26,493
2023-12-03,599
2023-12-10,459
2023-12-17,598
2023-12-24,575
2023-12-31,542
2024-01-07,0
