date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,1
2020-02-23,-1
2020-03-01,0
2020-03-08,47
2020-03-15,15
2020-03-22,122
2020-03-29,98
2020-04-05,212
2020-04-12,375
2020-04-19,224
2020-04-26,194
2020-05-03,587
2020-05-10,897
2020-05-17,-16
2020-05-24,2039
2020-05-31,2142
2020-06-07,2227
2020-06-14,1205
2020-06-21,410
2020-06-28,-613
2020-07-05,-53
2020-07-12,-2989
2020-07-19,-1109
2020-07-26,-1603
2020-08-02,-1678
2020-08-09,-1735
2020-08-16,24
2020-08-23,-121
2020-08-30,359
2020-09-06,-45
2020-09-13,-71
2020-09-20,-100
2020-09-27,-208
2020-10-04,3
2020-10-11,-27
2020-10-18,98
2020-10-25,190
2020-11-01,58
2020-11-08,249
2020-11-15,178
2020-11-22,544
2020-11-29,378
2020-12-06,324
2020-12-13,244
2020-12-20,727
2020-12-27,2622
2021-01-03,3139
2021-01-10,-1642
2021-01-17,-1213
2021-01-24,-1072
2021-01-31,-1361
2021-02-07,-587
2021-02-14,408
2021-02-21,245
2021-02-28,-55
2021-03-07,-193
2021-03-14,265
2021-03-21,133
2021-03-28,102
2021-04-04,299
2021-04-11,529
2021-04-18,386
2021-04-25,279
2021-05-02,928
2021-05-09,674
2021-05-16,560
2021-05-23,-78
2021-05-30,-201
2021-06-06,-1457
2021-06-13,-1192
2021-06-20,-1055
2021-06-27,-1016
2021-07-04,-1351
2021-07-11,-816
2021-07-18,-431
2021-07-25,-302
2021-08-01,-72
2021-08-08,102
2021-08-15,237
2021-08-22,295
2021-08-29,565
2021-09-05,564
2021-09-12,752
2021-09-19,1008
2021-09-26,869
2021-10-03,416
2021-10-10,461
2021-10-17,463
2021-10-24,139
2021-10-31,203
2021-11-07,147
2021-11-14,-54
2021-11-21,43
2021-11-28,-233
2021-12-05,239
2021-12-12,-418
2021-12-19,1
2021-12-26,33
2022-01-02,-271
2022-01-09,-251
2022-01-16,1347
2022-01-23,2682
2022-01-30,3367
2022-02-06,2889
2022-02-13,-401
2022-02-20,-844
2022-02-27,-1348
2022-03-06,-4130
2022-03-13,-3652
2022-03-20,19
2022-03-27,-1141
2022-04-03,-462
2022-04-10,-1113
2022-04-17,-1932
2022-04-24,-245
2022-05-01,-301
2022-05-08,-266
2022-05-15,-21
2022-05-22,0
2022-05-29,-7
2022-06-05,3
2022-06-12,2
2022-06-19,6
2022-06-26,2
2022-07-03,4
2022-07-10,4
2022-07-17,182
2022-07-24,15
2022-07-31,-14
2022-08-07,-41
2022-08-14,-75
2022-08-21,-50
2022-08-28,-22
2022-09-04,-17
2022-09-11,-14
2022-09-18,0
2022-09-25,-3
2022-10-02,0
2022-10-09,-3
2022-10-16,2
2022-10-23,-5
2022-10-30,1
2022-11-06,1
2022-11-13,2
2022-11-20,3
2022-11-27,0
2022-12-04,3
2022-12-11,5
2022-12-18,-1
2022-12-25,3
2023-01-01,-2
2023-01-08,4
2023-01-15,1
2023-01-22,5
2023-01-29,-3
2023-02-05,5
2023-02-12,1
2023-02-19,-1
2023-02-26,-1
2023-03-05,3
2023-03-12,-2
2023-03-19,-2
2023-03-26,1
2023-04-02,1
2023-04-09,-2
2023-04-16,-1
2023-04-23,-2
2023-04-30,1
2023-05-07,-27
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
