date,new_cases
2020-01-05,0
2020-01-12,-1
2020-01-19,0
2020-01-26,1
2020-02-02,8
2020-02-09,0
2020-02-16,-4
2020-02-23,1
2020-03-01,133
2020-03-08,766
2020-03-15,5536
2020-03-22,15966
2020-03-29,11574
2020-04-05,2086
2020-04-12,-8922
2020-04-19,-9800
2020-04-26,-4994
2020-05-03,-4909
2020-05-10,-1199
2020-05-17,-1468
2020-05-24,-1171
2020-05-31,-398
2020-06-07,-852
2020-06-14,-6
2020-06-21,1844
2020-06-28,-1025
2020-07-05,-476
2020-07-12,-262
2020-07-19,615
2020-07-26,892
2020-08-02,907
2020-08-09,1224
2020-08-16,1904
2020-08-23,1609
2020-08-30,-736
2020-09-06,-235
2020-09-13,1176
2020-09-20,2500
2020-09-27,779
2020-10-04,2882
2020-10-11,10199
2020-10-18,15886
2020-10-25,32761
2020-11-01,36217
2020-11-08,14683
2020-11-15,2170
2020-11-22,538
2020-11-29,-5278
2020-12-06,5136
2020-12-13,27955
2020-12-20,18376
2020-12-27,-35761
2021-01-03,-15875
2021-01-10,22552
2021-01-17,-26576
2021-01-24,-23376
2021-01-31,-17381
2021-02-07,-13576
2021-02-14,-13769
2021-02-21,1502
2021-02-28,4027
2021-03-07,2069
2021-03-14,12966
2021-03-21,21219
2021-03-28,23699
2021-04-04,-6302
2021-04-11,8181
2021-04-18,23833
2021-04-25,2657
2021-05-02,-19994
2021-05-09,-23837
2021-05-16,-30101
2021-05-23,-18076
2021-05-30,-22803
2021-06-06,-9187
2021-06-13,-6618
2021-06-20,-6777
2021-06-27,-2426
2021-07-04,-471
2021-07-11,1209
2021-07-18,3516
2021-07-25,3533
2021-08-01,2876
2021-08-08,4901
2021-08-15,11654
2021-08-22,17575
2021-08-29,16719
2021-09-05,8366
2021-09-12,-3081
2021-09-19,-10185
2021-09-26,-7848
2021-10-03,2858
2021-10-10,1544
2021-10-17,7334
2021-10-24,32364
2021-10-31,39288
2021-11-07,40857
2021-11-14,93306
2021-11-21,80480
2021-11-28,51694
2021-12-05,-15294
2021-12-12,-50046
2021-12-19,-64505
2021-12-26,-79671
2022-01-02,14864
2022-01-09,129186
2022-01-16,148242
2022-01-23,310691
2022-01-30,317537
2022-02-06,178388
2022-02-13,17105
2022-02-20,-116574
2022-02-27,-100178
2022-03-06,40916
2022-03-13,279837
2022-03-20,168658
2022-03-27,6387
2022-04-03,-293766
2022-04-10,-310525
2022-04-17,-205652
2022-04-24,-47449
2022-05-01,-134582
2022-05-08,-125477
2022-05-15,-62695
2022-05-22,-116240
2022-05-29,-105346
2022-06-05,57982
2022-06-12,86293
2022-06-19,82357
2022-06-26,160434
2022-07-03,48551
2022-07-10,6573
2022-07-17,45781
2022-07-24,-47951
2022-07-31,-131450
2022-08-07,-132793
2022-08-14,-64644
2022-08-21,-34963
2022-08-28,-35350
2022-09-04,-26222
2022-09-11,2327
2022-09-18,24829
2022-09-25,57622
2022-10-02,172317
2022-10-09,135221
2022-10-16,50913
2022-10-23,-100370
2022-10-30,-170713
2022-11-06,-130325
2022-11-13,-41563
2022-11-20,-32348
2022-11-27,922
2022-12-04,14236
2022-12-11,14680
2022-12-18,23448
2022-12-25,7793
2023-01-01,-79179
2023-01-08,-21251
2023-01-15,-41227
2023-01-22,-26222
2023-01-29,10431
2023-02-05,10945
2023-02-12,2352
2023-02-19,11255
2023-02-26,15584
2023-03-05,-27113
2023-03-12,-42563
2023-03-19,-3451
2023-03-26,-7668
2023-04-02,-9987
2023-04-09,-7973
2023-04-16,-1634
2023-04-23,-1577
2023-04-30,-2275
2023-05-07,-1833
2023-05-14,-652
2023-05-21,-2349
2023-05-28,-87
2023-06-04,-1505
2023-06-11,-375
2023-06-18,-378
2023-06-25,-486
2023-07-02,-429
2023-07-09,-1099
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
