date,new_cases
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,18
2020-03-15,54
2020-03-22,521
2020-03-29,845
2020-04-05,714
2020-04-12,1664
2020-04-19,2075
2020-04-26,-1687
2020-05-03,-1555
2020-05-10,-941
2020-05-17,-293
2020-05-24,-865
2020-05-31,-180
2020-06-07,-83
2020-06-14,-200
2020-06-21,31
2020-06-28,-72
2020-07-05,38
2020-07-12,7
2020-07-19,50
2020-07-26,-26
2020-08-02,105
2020-08-09,185
2020-08-16,120
2020-08-23,235
2020-08-30,64
2020-09-06,-100
2020-09-13,544
2020-09-20,432
2020-09-27,344
2020-10-04,704
2020-10-11,892
2020-10-18,3084
2020-10-25,2188
2020-11-01,-3114
2020-11-08,-2319
2020-11-15,-918
2020-11-22,142
2020-11-29,-806
2020-12-06,-105
2020-12-13,224
2020-12-20,731
2020-12-27,3097
2021-01-03,3590
2021-01-10,32918
2021-01-17,-11688
2021-01-24,-12933
2021-01-31,-8118
2021-02-07,-1742
2021-02-14,-1914
2021-02-21,-277
2021-02-28,-829
2021-03-07,-933
2021-03-14,-267
2021-03-21,-165
2021-03-28,535
2021-04-04,-161
2021-04-11,-855
2021-04-18,-378
2021-04-25,297
2021-05-02,203
2021-05-09,-93
2021-05-16,-68
2021-05-23,143
2021-05-30,-238
2021-06-06,48
2021-06-13,-630
2021-06-20,-96
2021-06-27,33
2021-07-04,593
2021-07-11,620
2021-07-18,1780
2021-07-25,3352
2021-08-01,453
2021-08-08,227
2021-08-15,2864
2021-08-22,274
2021-08-29,377
2021-09-05,-1442
2021-09-12,-1413
2021-09-19,-1071
2021-09-26,356
2021-10-03,-90
2021-10-10,-262
2021-10-17,2877
2021-10-24,2450
2021-10-31,769
2021-11-07,6668
2021-11-14,6120
2021-11-21,1095
2021-11-28,3881
2021-12-05,-760
2021-12-12,-464
2021-12-19,-2289
2021-12-26,18223
2022-01-02,49588
2022-01-09,44821
2022-01-16,5760
2022-01-23,-91216
2022-01-30,-21270
2022-02-06,1172
2022-02-13,623
2022-02-20,-4882
2022-02-27,-4922
2022-03-06,-4200
2022-03-13,3838
2022-03-20,7747
2022-03-27,12173
2022-04-03,-4441
2022-04-10,-20191
2022-04-17,-8574
2022-04-24,-4508
2022-05-01,-1356
2022-05-08,-2325
2022-05-15,7837
2022-05-22,-5050
2022-05-29,-3900
2022-06-05,329
2022-06-12,1586
2022-06-19,2167
2022-06-26,3388
2022-07-03,1244
2022-07-10,1238
2022-07-17,201
2022-07-24,-6459
2022-07-31,-3291
2022-08-07,-1587
2022-08-14,239
2022-08-21,-930
2022-08-28,-622
2022-09-04,261
2022-09-11,-122
2022-09-18,-225
2022-09-25,320
2022-10-02,46
2022-10-09,340
2022-10-16,-51
2022-10-23,-174
2022-10-30,-354
2022-11-06,223
2022-11-13,-100
2022-11-20,-240
2022-11-27,-14
2022-12-04,194
2022-12-11,358
2022-12-18,596
2022-12-25,826
2023-01-01,-521
2023-01-08,656
2023-01-15,-1415
2023-01-22,-1122
2023-01-29,-226
2023-02-05,-143
2023-02-12,-86
2023-02-19,123
2023-02-26,-141
2023-03-05,-65
2023-03-12,164
2023-03-19,173
2023-03-26,60
2023-04-02,363
2023-04-09,-638
2023-04-16,-119
2023-04-23,24
2023-04-30,-108
2023-05-07,-27
2023-05-14,15
2023-05-21,-69
2023-05-28,94
2023-06-04,-82
2023-06-11,-124
2023-06-18,-30
2023-06-25,-58
2023-07-02,-93
2023-07-09,42
2023-07-16,40
2023-07-23,49
2023-07-30,104
2023-08-06,260
2023-08-13,66
2023-08-20,153
2023-08-27,87
2023-09-03,-175
2023-09-10,45
2023-09-17,-83
2023-09-24,-135
2023-10-01,158
2023-10-08,-35
2023-10-15,-139
2023-10-22,42
2023-10-29,-107
2023-11-05,-89
2023-11-12,118
2023-11-19,-47
2023-11-26,-64
2023-12-03,21
2023-12-10,71
2023-12-17,199
2023-12-24,223
2023-12-31,-335
2024-01-07,-599
