location,p,q,rmse,mase,mae,.estimator
Argentina,1,4,53509.67935048569,297.4714103606402,52340.457422967265,standard
Australia,2,2,13134.576820581136,4.301833388319718,11926.990453264772,standard
India,2,4,232277.9376197255,60.590050416772385,222624.10109840668,standard
Italy,5,3,117445.74374999775,21.827898606229663,111500.63279501731,standard
Malaysia,4,3,6448.7439709891405,2.2887678701496186,5373.692017471768,standard
Mexico,1,4,38297.69243911353,35.11824754496339,37296.43543537415,standard
Morocco,2,3,6660.196331447593,152.08754240956702,6487.831992056896,standard
Peru,1,3,23859.462629742302,44.74323840489222,23466.191595619435,standard
Sweden,2,3,13679.433600360804,51.228441628368486,13376.870635934467,standard
United Kingdom,1,2,107213.88225020564,54.917665646532406,103460.86371228803,standard
