location,rmse,mase,mae
Mexico,18047.429239480633,0.9978303754003093,14758.006283634899
Sweden,1475.2854472210784,1.4532212862643987,1059.9519257957998
Argentina,4844.021223878277,4.2714866830794405,3171.5788621864845
India,25362.600397815488,1.1652533989880114,10594.539391856093
Peru,25347.130878889842,36.518386626806276,25103.782349741687
Italy,182202.61004776176,12.84477025663171,179152.73898223403
Malaysia,7456.4828542926425,1.2735865690998238,4351.420777757731
Australia,115857.53467245445,9.04318348904384,115258.81859014527
Morocco,2913.218245187763,28.48328445382224,2708.62471687062
United Kingdom,11070.053888542643,0.38425358439237334,9255.095238095239
