location,rmse,mase,mae,.estimator
Morocco,3228.214886931135,50.379716504985716,2149.124979688293,standard
Malaysia,6458.103865910161,1.7961760797702349,4217.158580264446,standard
Peru,13742.249152778155,16.174896174058823,8483.141278799676,standard
Sweden,16303.190937670835,38.39175149321924,10024.92906064403,standard
Australia,31597.323570608958,8.299463405312588,23010.56593013422,standard
Mexico,34318.28464825787,24.986336984606854,26536.099300505753,standard
UK,43515.81238047374,15.136815538164296,28516.65290203288,standard
Italy,54980.30703457294,6.911361124132179,35304.412610551786,standard
Argentina,73936.92129905375,336.12286476879757,59141.227962002566,standard
India,94417.1567062031,20.639999456229663,75836.89556301749,standard
