location,rmse,mase,mae,.estimator
Argentina,542.4963938524792,2.350845979863161,413.63421704226437,standard
Morocco,698.5192460132092,5.637339293825122,240.48064450975951,standard
Malaysia,6213.75605371933,1.7138680369427444,4023.911340784937,standard
Sweden,11361.960484361261,22.247465170836453,5809.301515096955,standard
Peru,15610.171197179265,18.601162832958376,9755.629375539118,standard
India,21532.131827281013,2.2489166446262625,8263.123120237151,standard
Mexico,32927.37057446988,24.00329524301767,25492.084994310193,standard
Italy,46571.99317551285,6.070612564168583,31009.725423820666,standard
UK,69827.22385843538,28.243985675434214,53209.60237941985,standard
Australia,234621.32957255404,82.94148180332228,229958.2927441672,standard
