location,rmse,mase,mae,.estimator
Sweden,1492.487808038262,4.1983667369432345,1096.2857142857144,standard
Morocco,5134.919233079984,61.95837368463604,2643.0535505958155,standard
Argentina,8690.038673913266,15.944300328521823,2805.419087072108,standard
Malaysia,9694.488206130789,2.8196538924085366,6620.134707098304,standard
United Kingdom,11070.053888542641,4.912661730970661,9255.095238095239,standard
Peru,17207.303614968314,27.07287568958364,14198.732828124801,standard
Mexico,23802.624649694244,12.724514504139393,13513.744757408325,standard
Italy,89221.71509993683,13.011517014486804,66465.05038851328,standard
Australia,93898.0050471955,29.318943396711408,81287.84321165299,standard
India,165020.08487712045,17.237900675944513,63336.67188604049,standard
